gap_left	gap_right	gap_bp	status	reads_added	depth_all	depth_pass_mapq	depth_lost_pct	our_candidates	our_cand_per_kb	competitor_phased_hets
38203612	38236063	32451	split	109	64.4	64.0	0.6	6	0.18	4
39171490	39204674	33184	split	100	69.3	69.2	0.2	42	1.27	2
39241049	39286408	45359	split	48	65.1	64.9	0.4	66	1.46	3
40620806	40741068	120262	split	158	58.9	58.3	1.1	205	1.7	12
41351604	41404861	53257	split	146	77.0	76.3	1.0	149	2.8	6
41425338	41539049	113711	split	138	75.9	75.4	0.7	140	1.23	4
42006406	42128667	122261	split	68	73.3	72.9	0.6	19	0.16	8
42414096	42543112	129016	split	253	64.6	64.4	0.4	13	0.1	4
43688351	45143091	1454740	split	0	67.9	67.5	0.7	1386	0.95	10
45143095	45896820	753725	split	8	65.2	64.7	0.7	872	1.16	16
46636707	46663811	27104	split	90	59.5	58.5	1.6	6	0.22	2
46835333	46896191	60858	split	100	78.2	78.0	0.3	17	0.28	5
47738673	47762233	23560	split	10	52.7	52.2	0.9	48	2.04	4
48094709	48229446	134737	split	64	70.3	69.7	0.8	115	0.85	13
48952538	49062203	109665	split	73	63.0	62.5	0.7	23	0.21	10
49115016	49158744	43728	split	53	58.5	58.0	0.9	17	0.39	9
49399971	49478563	78592	split	106	61.4	60.8	1.0	86	1.09	2
49681894	49845376	163482	split	54	70.5	70.0	0.8	179	1.09	14
49934880	49964968	30088	split	0	78.6	78.2	0.5	7	0.23	2
50099530	50147908	48378	split	204	57.2	56.8	0.7	17	0.35	3
51235063	51287372	52309	split	136	58.8	58.6	0.5	9	0.17	6
52267263	52376121	108858	split	154	61.2	60.7	0.8	129	1.19	7
52394827	52434849	40022	split	46	58.0	58.0	0.1	97	2.42	2
52661951	52727684	65733	split	244	71.5	70.7	1.1	12	0.18	6
54419033	54453020	33987	split	117	85.3	85.2	0.1	76	2.24	2
55309475	55382729	73254	split	126	65.6	64.8	1.3	124	1.69	6
55782438	55824242	41804	split	81	69.2	68.9	0.4	23	0.55	2
55843827	55889113	45286	split	40	65.9	65.7	0.2	52	1.15	4
55999194	56040612	41418	split	158	70.9	70.4	0.7	20	0.48	5
56150368	56201931	51563	split	106	75.9	75.6	0.3	23	0.45	10
56206359	56350725	144366	split	297	76.2	75.6	0.8	107	0.74	19
56497168	56568153	70985	split	199	69.6	69.0	0.9	158	2.23	5
57085410	57119478	34068	split	480	67.1	66.5	0.9	32	0.94	3
57465653	57528647	62994	split	91	69.6	69.1	0.7	36	0.57	6
57568292	57661366	93074	split	59	67.2	66.8	0.6	290	3.12	5
57764235	57836194	71959	split	149	71.5	71.2	0.4	17	0.24	5
58247272	58318451	71179	split	146	58.0	57.5	0.9	40	0.56	2
58358691	58391091	32400	split	26	54.2	53.8	0.8	44	1.36	5
58421174	58453158	31984	split	21	50.7	50.2	1.1	23	0.72	5
58703912	58747200	43288	split	168	56.5	56.0	0.9	86	1.99	2
58808403	58849519	41116	split	36	60.5	60.5	0.0	7	0.17	3
58989436	59046421	56985	split	216	68.0	67.8	0.2	123	2.16	5
59825454	59850390	24936	split	158	62.0	61.4	1.0	55	2.21	5
60005003	60058235	53232	split	123	60.9	60.3	1.1	85	1.6	8
60090439	60132282	41843	split	66	69.7	69.0	1.0	54	1.29	2
60243600	60286266	42666	split	155	72.9	72.5	0.5	21	0.49	4
60447075	60467115	20040	split	18	62.8	61.9	1.4	26	1.3	4
60528530	60552043	23513	split	0	71.9	71.4	0.7	2	0.09	2
60567680	60686879	119199	split	58	57.6	57.5	0.3	123	1.03	9
60693683	60739811	46128	split	53	63.1	63.0	0.1	10	0.22	6
60880575	60980031	99456	split	136	65.8	65.5	0.5	10	0.1	8
60991759	61037147	45388	split	2	68.5	68.0	0.8	45	0.99	3
61093029	61144543	51514	split	135	56.8	56.0	1.3	69	1.34	7
61298365	61327386	29021	split	88	71.6	70.8	1.1	44	1.52	3
61343859	61405579	61720	split	6	66.6	65.9	1.0	59	0.96	4
61440518	61487311	46793	split	66	65.1	65.0	0.1	35	0.75	5
61664136	61690751	26615	split	251	76.6	76.0	0.8	5	0.19	2
61874243	61914474	40231	split	214	68.5	68.0	0.7	4	0.1	2
62335971	62385548	49577	split	15	64.4	64.0	0.6	55	1.11	3
62408056	62432427	24371	split	0	77.0	76.3	0.9	3	0.12	3
63159367	63182011	22644	split	108	52.4	51.8	1.0	48	2.12	2
64902581	64913827	11246	split	29	16.6	16.6	0.1	49	4.36	3
