region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_19358995_19395544	19395544	19310196	166	1	1	0	False
chr20_20493042_20540928	20443112	20443112	253	0	0	0	False
chr20_20493042_20540928	20540928	20443112	8	0	0	1	False
chr20_20662569_20731688	20617179	20617179	159	1	1	0	False
chr20_20662569_20731688	20689586	20617179	58	0	0	0	False
chr20_20874447_20895876	20826314	20826314	203	0	0	0	False
chr20_20874447_20895876	20895876	20826314	240	0	0	0	False
chr20_21117402_21148338	21067527	21067527	158	0	0	0	False
chr20_21117402_21148338	21148338	21067527	96	0	0	0	False
chr20_22702346_22729320	22668436	22668436	116	0	0	0	False
chr20_22702346_22729320	22729320	22729320	186	2	2	0	False
chr20_23403554_23445252	23360562	23360562	144	0	0	0	False
chr20_23403554_23445252	23449834	23360562	33	0	33	1	True
chr20_23403554_23445252	23481134	23481134	60	0	0	0	False
chr20_23460963_23481134	23449834	23449834	33	0	0	0	False
chr20_23460963_23481134	23481134	23481134	60	0	0	0	False
chr20_23460963_23481134	23503225	23481134	113	0	0	0	False
chr20_23482489_23503225	23449834	23449834	33	0	0	0	False
chr20_23482489_23503225	23481134	23481134	60	0	0	0	False
chr20_23482489_23503225	23503225	23481134	210	0	0	0	False
chr20_24105188_24142287	24058168	24058168	34	0	0	0	False
chr20_24105188_24142287	24103779	24103779	53	0	53	0	True
chr20_24105188_24142287	24142287	24103779	265	0	0	1	False
chr20_24357615_24379633	24309688	24309688	206	0	0	0	False
chr20_24357615_24379633	24379633	24379633	182	0	0	0	False
chr20_24574099_24601281	24531266	24531266	218	0	0	0	False
chr20_24574099_24601281	24601281	24531266	250	0	0	1	False
chr20_34030463_34072055	34018169	34018169	57	0	0	0	False
chr20_34030463_34072055	34055830	34018169	42	0	0	1	False
chr20_34079290_34134418	34055830	34055830	42	0	0	0	False
chr20_34079290_34134418	34134418	34055830	65	2	2	1	False
chr20_34079290_34134418	34162219	34162219	81	0	0	0	False
chr20_34791342_34811747	34748986	34748986	131	0	0	0	False
chr20_34791342_34811747	34811747	34811747	123	0	0	0	False
chr20_35244059_35357391	35228062	35228062	8	0	0	0	False
chr20_35244059_35357391	35357391	35228062	15	0	0	1	False
chr20_35919404_35939110	35873360	35873360	245	0	0	0	False
chr20_35919404_35939110	35939110	35873360	48	0	0	0	False
chr20_36247421_36268291	36202629	36202629	87	1	1	0	False
chr20_36247421_36268291	36268291	36202629	68	0	0	0	False
chr20_36247421_36268291	36299817	36202629	5	0	0	1	False
chr20_36268558_36299817	36234165	36234165	20	0	0	0	False
chr20_36268558_36299817	36268291	36234165	68	0	0	0	False
chr20_36268558_36299817	36299817	36234165	15	0	0	1	False
chr20_36332599_36381019	36299817	36299817	15	0	0	0	False
chr20_36332599_36381019	36381019	36299817	199	0	0	1	False
chr20_36614185_36629321	36566468	36566468	200	0	0	0	False
chr20_36614185_36629321	36629321	36566468	180	0	0	1	False
chr20_37005134_37018950	36968831	36968831	152	0	0	0	False
chr20_37005134_37018950	37018950	36968831	280	0	0	0	False
chr20_37984529_38008026	37936082	37936082	237	0	0	0	False
chr20_37984529_38008026	38008026	38008026	203	1	1	0	False
chr20_38211030_38236063	38173189	38173189	113	1	1	0	False
chr20_38211030_38236063	38236063	38173189	45	0	0	1	False
chr20_38259286_38303247	38236063	38236063	46	0	0	0	False
chr20_38259286_38303247	38303247	38303247	44	0	0	0	False
chr20_38259286_38303247	38341762	38303247	63	0	0	1	False
chr20_38370611_38393470	38341762	38341762	115	2	2	0	False
chr20_38370611_38393470	38393470	38341762	204	1	1	0	False
chr20_39848887_39856144	39800166	39800166	210	0	0	0	False
chr20_39848887_39856144	39868811	39800166	197	0	0	0	False
chr20_42191762_42208160	42153753	42153753	145	0	0	0	False
chr20_42191762_42208160	42208160	42153753	191	0	0	0	False
chr20_46384021_46405048	46334126	46334126	195	0	0	0	False
chr20_46384021_46405048	46407462	46334126	225	0	0	0	False
chr20_46727050_46747637	46677273	46677273	229	2	2	0	False
chr20_46727050_46747637	46748667	46677273	172	0	172	0	True
chr20_47019175_47026671	46974626	46974626	133	0	0	0	False
chr20_47019175_47026671	47026671	46974626	160	0	0	0	False
chr20_47671540_47713869	47622631	47622631	166	0	0	0	False
chr20_47671540_47713869	47713869	47622631	25	0	0	1	False
chr20_47738673_47762233	47713869	47713869	25	0	0	0	False
chr20_47738673_47762233	47762233	47713869	210	0	0	0	False
chr20_48022132_48043584	47979057	47979057	183	0	0	0	False
chr20_48022132_48043584	48043584	47979057	138	0	0	0	False
chr20_48925908_48950388	48878199	48878199	168	0	0	0	False
chr20_48925908_48950388	48950388	48878199	69	0	0	0	False
chr20_49072885_49096906	49062203	49062203	25	0	0	0	False
chr20_49072885_49096906	49102876	49062203	55	0	0	1	False
chr20_50540995_50562066	50491033	50491033	177	2	175	0	True
chr20_50540995_50562066	50562066	50491033	260	0	0	0	False
chr20_51145921_51165532	51096390	51096390	208	1	1	0	False
chr20_51145921_51165532	51165532	51096390	191	0	0	0	False
chr20_53926537_53962801	53881508	53881508	230	0	0	0	False
chr20_53926537_53962801	53962801	53881508	256	0	0	1	False
chr20_54675445_54702072	54629156	54629156	238	0	0	0	False
chr20_54675445_54702072	54702072	54629156	206	0	0	1	False
chr20_54894127_54912022	54846721	54846721	199	0	0	0	False
chr20_54894127_54912022	54912022	54846721	220	0	0	0	False
chr20_54976339_54988434	54926902	54926902	214	0	0	0	False
chr20_54976339_54988434	54988434	54926902	216	0	0	1	False
chr20_55472966_55492323	55424772	55424772	222	0	0	0	False
chr20_55472966_55492323	55492791	55424772	230	0	0	0	False
chr20_55843827_55889113	55824242	55824242	105	0	0	0	False
chr20_55843827_55889113	55883023	55824242	253	0	0	1	False
chr20_55999561_56040612	55949998	55949998	269	0	0	0	False
chr20_55999561_56040612	56040612	55949998	39	0	0	1	False
chr20_56064697_56100715	56040612	56040612	39	0	0	0	False
chr20_56064697_56100715	56100715	56040612	235	0	0	0	False
chr20_56671109_56679959	56621376	56621376	213	0	0	0	False
chr20_56671109_56679959	56681452	56621376	126	0	0	0	False
chr20_56726836_56740521	56681452	56681452	126	0	0	0	False
chr20_56726836_56740521	56740521	56681452	273	0	0	1	False
chr20_56881860_56909075	56838689	56838689	242	0	0	0	False
chr20_56881860_56909075	56909075	56838689	229	0	0	1	False
chr20_57087239_57119478	57039576	57039576	175	0	0	0	False
chr20_57087239_57119478	57123860	57039576	191	0	0	0	False
chr20_57667169_57688923	57620633	57620633	59	0	0	0	False
chr20_57667169_57688923	57661366	57661366	33	0	0	0	False
chr20_57667169_57688923	57688923	57661366	233	0	0	0	False
chr20_57764235_57785772	57715037	57715037	214	0	0	0	False
chr20_57764235_57785772	57785772	57715037	70	1	1	0	False
chr20_57841772_57866713	57836194	57836194	63	0	0	0	False
chr20_57841772_57866713	57866713	57836194	104	0	0	1	False
chr20_57911734_57934951	57866713	57866713	105	0	0	0	False
chr20_57911734_57934951	57934951	57866713	234	0	0	0	False
chr20_58392336_58419975	58347188	58347188	63	0	0	0	False
chr20_58392336_58419975	58391091	58347188	61	1	60	1	True
chr20_58392336_58419975	58419975	58347188	51	0	51	1	True
chr20_58392336_58419975	58452672	58347188	116	0	0	0	False
chr20_58703912_58758263	58654130	58654130	184	1	1	0	False
chr20_58703912_58758263	58747200	58654130	164	0	0	0	False
chr20_59825454_59867460	59778440	59778440	235	0	0	0	False
chr20_59825454_59867460	59850389	59778440	192	0	0	0	False
chr20_60033052_60056028	59983294	59983294	141	0	0	0	False
chr20_60033052_60056028	60058235	59983294	39	0	0	0	False
chr20_60063142_60114911	60013862	60013862	40	0	0	0	False
chr20_60063142_60114911	60058235	60013862	39	0	0	1	False
chr20_60063142_60114911	60114911	60013862	167	0	0	0	False
chr20_61664136_61690751	61615092	61615092	140	0	0	0	False
chr20_61664136_61690751	61690751	61690751	136	0	0	0	False
chr20_62410496_62432427	62385548	62385548	157	0	0	0	False
chr20_62410496_62432427	62432427	62385548	228	0	0	0	False
chr20_62623253_62637077	62585309	62585309	110	1	1	0	False
chr20_62623253_62637077	62645168	62585309	203	0	0	0	False
chr20_63945865_63969922	63896021	63896021	239	0	0	0	False
chr20_63945865_63969922	63969922	63896021	183	0	0	0	False
chr20_64902581_64905482	64852683	64852683	165	0	0	0	False
chr20_64902581_64905482	64913827	64913827	170	0	0	0	False
chr20_26602087_26651086	26552098	26552098	28	11	11	0	False
chr20_26602087_26651086	26647105	26647105	70	25	25	0	False
chr20_34864445_34893642	34818318	34818318	113	0	0	0	False
chr20_34864445_34893642	34893642	34893642	204	0	0	0	False
chr20_26626247_26651086	26576361	26576361	20	7	7	0	False
chr20_26626247_26651086	26647105	26647105	70	25	25	0	False
chr20_33210466_33233843	33161082	33161082	210	0	0	0	False
chr20_33210466_33233843	33233843	33161082	92	0	0	0	False
chr20_1912570_1913912	1862825	1862825	164	28	28	0	False
chr20_1912570_1913912	1902079	1862825	190	0	0	1	False
chr20_3786668_3806891	3741869	3741869	174	0	0	0	False
chr20_3786668_3806891	3806891	3741869	156	0	0	0	False
chr20_4011717_4022923	3981464	3981464	120	0	0	0	False
chr20_4011717_4022923	4033448	3981464	181	0	0	0	False
chr20_36032227_36056601	36011708	36011708	67	0	0	0	False
chr20_36032227_36056601	36056601	36011708	45	0	0	0	False
chr20_36032227_36056601	36083127	36011708	5	0	0	0	False
chr20_39838293_39856144	39788782	39788782	257	0	0	0	False
chr20_39838293_39856144	39868811	39788782	197	0	0	1	False
chr20_42184827_42208160	42153753	42153753	145	0	0	0	False
chr20_42184827_42208160	42208160	42153753	191	0	0	0	False
chr20_46384021_46407462	46334126	46334126	195	0	0	0	False
chr20_46384021_46407462	46407462	46334126	229	0	0	0	False
chr20_46609387_46629630	46562976	46562976	220	0	0	0	False
chr20_46609387_46629630	46629630	46562976	67	0	0	0	False
chr20_46609387_46629630	46663811	46562976	79	0	0	0	False
chr20_47002481_47026671	46974626	46974626	133	0	0	0	False
chr20_47002481_47026671	47026671	46974626	160	0	0	0	False
chr20_49071976_49102876	49062203	49062203	25	0	0	0	False
chr20_49071976_49102876	49102876	49062203	55	0	0	1	False
chr20_51142695_51165532	51092888	51092888	247	1	1	0	False
chr20_51142695_51165532	51165532	51092888	191	0	0	0	False
chr20_54547514_54590762	54497560	54497560	286	0	0	0	False
chr20_54547514_54590762	54569072	54497560	246	0	0	0	False
chr20_54976282_54993445	54926902	54926902	214	0	0	0	False
chr20_54976282_54993445	54988434	54926902	242	0	0	1	False
chr20_55472966_55492791	55424772	55424772	222	0	0	0	False
chr20_55472966_55492791	55492791	55424772	230	0	0	0	False
chr20_56662188_56679959	56612722	56612722	251	0	0	0	False
chr20_56662188_56679959	56681452	56612722	126	0	0	0	False
chr20_56880401_56909075	56831318	56831318	243	0	0	0	False
chr20_56880401_56909075	56909075	56831318	229	0	0	1	False
chr20_61732321_61782778	61690751	61690751	138	0	0	0	False
chr20_61732321_61782778	61782778	61690751	153	0	0	0	False
chr20_62623253_62645168	62585309	62585309	110	1	1	0	False
chr20_62623253_62645168	62645168	62585309	232	0	0	0	False
chr20_64128828_64144962	64080222	64080222	148	0	0	0	False
chr20_64128828_64144962	64155215	64080222	126	0	0	1	False
