gap_left	gap_right	gap_bp	reads_in_gap	n_tools_spanning	hiphase_spans	hiphase_scored	hiphase_concordant	hiphase_acc	longphase_spans	longphase_scored	longphase_concordant	longphase_acc	whatshap_opt_spans	whatshap_opt_scored	whatshap_opt_concordant	whatshap_opt_acc
1897073	1897185	112	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1897353	1897364	11	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1897367	1897380	13	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1897534	1897671	137	24	3	1	23	23	1.0	1	24	24	1.0	1	23	23	1.0
1897814	1901899	4085	27	3	1	25	25	1.0	1	27	27	1.0	1	25	25	1.0
1903555	1903567	12	30	3	1	29	29	1.0	1	30	30	1.0	1	29	29	1.0
1903567	1903622	55	30	3	1	29	29	1.0	1	30	30	1.0	1	29	29	1.0
1903731	1903785	54	31	3	1	30	30	1.0	1	31	31	1.0	1	30	30	1.0
1903785	1903840	55	31	3	1	30	30	1.0	1	31	31	1.0	1	30	30	1.0
1904011	1904031	20	31	3	1	30	30	1.0	1	31	31	1.0	1	30	30	1.0
1904367	1904705	338	33	3	1	32	32	1.0	1	33	33	1.0	1	32	32	1.0
1904878	1904943	65	33	3	1	32	32	1.0	1	33	33	1.0	1	32	32	1.0
1906181	1906190	9	33	3	1	32	32	1.0	1	33	33	1.0	1	32	32	1.0
3529324	3550839	21515	156	3	1	145	143	0.9862	1	149	147	0.9866	1	146	146	1.0
3786668	3806891	20223	137	3	1	134	1	0.0075	1	114	113	0.9912	1	133	132	0.9925
3806891	3808368	1477	73	3	1	73	1	0.0137	1	73	72	0.9863	1	73	72	0.9863
3835043	3891442	56399	298	1	1	262	126	0.4809	0	117	117	1.0	0	222	194	0.8739
3891442	3893326	1884	55	3	1	55	55	1.0	1	55	55	1.0	1	55	55	1.0
3956345	3981464	25119	161	1	1	135	129	0.9556	0	119	113	0.9496	0	121	118	0.9752
4011717	4033448	21731	133	3	1	133	133	1.0	1	126	126	1.0	1	132	132	1.0
4033448	4033822	374	57	3	1	57	57	1.0	1	55	55	1.0	1	57	57	1.0
4033822	4043659	9837	96	3	1	96	96	1.0	1	93	93	1.0	1	96	96	1.0
4618685	4642430	23745	184	3	1	170	169	0.9941	1	151	151	1.0	1	150	150	1.0
4642430	4646873	4443	88	3	1	88	88	1.0	1	88	88	1.0	1	88	88	1.0
4761808	4792960	31152	200	2	1	179	179	1.0	0	99	99	1.0	1	183	181	0.9891
4854217	4886360	32143	159	2	1	129	128	0.9922	0	106	106	1.0	1	129	128	0.9922
5174971	5196043	21072	118	3	1	117	115	0.9829	1	95	93	0.9789	1	111	111	1.0
5242390	5272413	30023	172	2	1	155	155	1.0	0	122	122	1.0	1	160	155	0.9688
5309406	5345085	35679	226	2	1	221	220	0.9955	0	141	140	0.9929	1	214	214	1.0
5511231	5533786	22555	177	2	1	147	147	1.0	0	127	127	1.0	1	151	148	0.9801
6164984	6167690	2706	67	3	1	67	67	1.0	1	67	67	1.0	1	67	67	1.0
6513891	6536071	22180	199	3	1	173	163	0.9422	1	165	155	0.9394	1	159	159	1.0
6965188	6997093	31905	204	2	1	171	88	0.5146	0	75	73	0.9733	1	158	84	0.5316
7028815	7064047	35232	246	2	1	218	216	0.9908	0	149	147	0.9866	1	216	148	0.6852
7118617	7133382	14765	143	3	1	142	142	1.0	1	142	142	1.0	1	142	142	1.0
7206650	7218910	12260	113	3	1	108	107	0.9907	1	107	106	0.9907	1	106	106	1.0
7218910	7250571	31661	186	3	1	177	175	0.9887	1	171	169	0.9883	1	173	173	1.0
7264321	7280356	16035	136	2	1	125	123	0.984	0	111	107	0.964	1	122	120	0.9836
7786257	7808915	22658	168	3	1	154	152	0.987	1	134	132	0.9851	1	131	130	0.9924
7861288	7862614	1326	66	3	1	66	66	1.0	1	66	66	1.0	1	66	66	1.0
7887136	7889419	2283	74	3	1	74	74	1.0	1	74	74	1.0	1	74	74	1.0
7901325	7924485	23160	172	3	1	132	131	0.9924	1	138	134	0.971	1	135	134	0.9926
7924485	7947306	22821	171	3	1	144	143	0.9931	1	127	127	1.0	1	144	143	0.9931
8001368	8001926	558	66	3	1	66	66	1.0	1	66	66	1.0	1	66	66	1.0
8001926	8004390	2464	70	3	1	70	70	1.0	1	70	70	1.0	1	70	70	1.0
8977829	9014032	36203	223	1	1	180	179	0.9944	0	127	126	0.9921	0	127	126	0.9921
10318335	10343595	25260	180	2	1	160	150	0.9375	0	138	137	0.9928	1	162	162	1.0
10727690	10760419	32729	214	2	1	188	183	0.9734	0	135	132	0.9778	1	188	178	0.9468
11233845	11262361	28516	219	1	1	189	189	1.0	0	150	150	1.0	0	150	150	1.0
11426743	11447789	21046	150	3	1	118	118	1.0	1	118	118	1.0	1	118	118	1.0
11573074	11599138	26064	190	1	1	174	171	0.9828	0	140	137	0.9786	0	140	137	0.9786
11599138	11599923	785	79	3	1	79	79	1.0	1	79	79	1.0	1	79	79	1.0
11813668	11822681	9013	116	3	1	115	113	0.9826	1	115	113	0.9826	1	109	109	1.0
12220585	12243047	22462	183	2	1	180	178	0.9889	0	157	155	0.9873	1	175	172	0.9829
12256072	12277078	21006	180	3	1	152	150	0.9868	1	152	150	0.9868	1	148	148	1.0
12717796	12752291	34495	219	2	1	201	201	1.0	0	127	127	1.0	1	201	148	0.7363
13180644	13208341	27697	175	2	1	168	165	0.9821	0	139	136	0.9784	1	167	164	0.982
13820991	13844727	23736	174	2	1	166	166	1.0	0	68	68	1.0	1	165	165	1.0
14612632	14631387	18755	146	3	1	130	130	1.0	1	130	130	1.0	1	130	130	1.0
14719378	14729749	10371	98	3	1	97	97	1.0	1	97	97	1.0	1	96	96	1.0
15015554	15039543	23989	155	2	1	130	130	1.0	0	121	121	1.0	1	129	128	0.9922
15087221	15115387	28166	186	2	1	181	177	0.9779	0	69	68	0.9855	1	172	167	0.9709
17488211	17521341	33130	202	3	1	189	183	0.9683	1	181	176	0.9724	1	181	176	0.9724
17607780	17633256	25476	157	2	1	152	151	0.9934	0	55	55	1.0	1	142	139	0.9789
17633256	17667022	33766	208	2	1	170	169	0.9941	0	55	55	1.0	1	165	164	0.9939
17852024	17883198	31174	209	2	1	191	191	1.0	0	145	72	0.4966	1	191	189	0.9895
18194808	18218259	23451	166	3	1	126	126	1.0	1	126	126	1.0	1	125	125	1.0
18967586	18999993	32407	223	2	1	179	179	1.0	0	144	144	1.0	1	206	191	0.9272
19358995	19395544	36549	209	1	1	180	174	0.9667	0	133	127	0.9549	0	149	143	0.9597
19502530	19526088	23558	175	3	1	140	140	1.0	1	146	144	0.9863	1	140	140	1.0
20493042	20523889	30847	189	2	1	177	174	0.9831	0	149	148	0.9933	1	176	176	1.0
20662569	20689586	27017	177	3	1	173	168	0.9711	1	169	164	0.9704	1	168	168	1.0
20874447	20895876	21429	146	3	1	122	122	1.0	1	122	122	1.0	1	120	114	0.95
21117402	21148338	30936	222	2	1	209	189	0.9043	0	164	163	0.9939	1	202	182	0.901
21159070	21183846	24776	169	3	1	150	149	0.9933	1	132	131	0.9924	1	147	146	0.9932
21435750	21456826	21076	157	3	1	135	134	0.9926	1	135	134	0.9926	1	131	128	0.9771
21736539	21757517	20978	143	2	1	116	116	1.0	0	55	55	1.0	1	116	116	1.0
21817199	21845675	28476	190	2	1	165	160	0.9697	0	61	61	1.0	1	150	59	0.3933
22481532	22493878	12346	126	3	1	126	126	1.0	1	121	121	1.0	1	125	125	1.0
22520628	22524082	3454	69	3	1	69	69	1.0	1	69	69	1.0	1	69	69	1.0
22702346	22729320	26974	165	1	1	152	152	1.0	0	135	135	1.0	0	135	70	0.5185
22980600	23008891	28291	195	2	1	169	168	0.9941	0	132	132	1.0	1	159	71	0.4465
23421003	23449834	28831	174	2	1	142	141	0.993	0	123	122	0.9919	1	141	140	0.9929
23460963	23481134	20171	144	3	1	125	125	1.0	1	125	125	1.0	1	125	125	1.0
23481134	23481187	53	62	3	1	62	62	1.0	1	62	62	1.0	1	62	62	1.0
23481187	23482489	1302	66	3	1	66	66	1.0	1	66	66	1.0	1	66	66	1.0
23482489	23503225	20736	139	3	1	130	129	0.9923	1	116	115	0.9914	1	128	127	0.9922
23888763	23910291	21528	145	3	1	127	115	0.9055	1	115	103	0.8957	1	115	103	0.8957
23942879	23976798	33919	203	1	1	164	161	0.9817	0	0	0	0.0	0	51	51	1.0
24105188	24142287	37099	229	1	1	190	190	1.0	0	137	137	1.0	0	137	137	1.0
24357615	24379633	22018	131	3	1	109	109	1.0	1	109	109	1.0	1	109	109	1.0
24573548	24601281	27733	197	2	1	180	180	1.0	0	122	122	1.0	1	180	180	1.0
25834662	25883079	48417	296	2	1	89	89	1.0	1	270	261	0.9667	0	27	27	1.0
26029591	26088679	59088	313	1	0	70	69	0.9857	1	313	312	0.9968	0	16	16	1.0
26407782	26412130	4348	71	3	1	40	35	0.875	1	69	64	0.9275	1	16	16	1.0
26412130	26417736	5606	71	3	1	35	30	0.8571	1	67	62	0.9254	1	15	10	0.6667
26431099	26431104	5	24	3	1	21	18	0.8571	1	22	19	0.8636	1	13	4	0.3077
26431146	26436165	5019	43	3	1	40	18	0.45	1	41	19	0.4634	1	25	4	0.16
26436586	26437271	685	37	3	1	36	17	0.4722	1	35	16	0.4571	1	23	2	0.087
26437271	26437379	108	33	3	1	32	13	0.4062	1	32	13	0.4062	1	22	1	0.0455
26437379	26437600	221	32	3	1	31	11	0.3548	1	31	11	0.3548	1	21	1	0.0476
26437600	26437615	15	32	3	1	31	11	0.3548	1	31	11	0.3548	1	21	1	0.0476
26437615	26438167	552	36	3	1	35	11	0.3143	1	35	11	0.3143	1	25	1	0.04
26438997	26439093	96	41	3	1	40	10	0.25	1	40	10	0.25	1	29	1	0.0345
26442822	26442931	109	44	3	1	43	4	0.093	1	42	3	0.0714	1	26	0	0.0
26442931	26442962	31	44	3	1	43	4	0.093	1	42	3	0.0714	1	26	0	0.0
26445161	26445189	28	49	3	1	46	3	0.0652	1	46	2	0.0435	1	25	0	0.0
26445189	26445209	20	49	3	1	46	3	0.0652	1	46	2	0.0435	1	25	0	0.0
26459641	26459696	55	107	3	1	44	1	0.0227	1	52	1	0.0192	1	14	0	0.0
26459696	26459767	71	107	3	1	44	1	0.0227	1	52	1	0.0192	1	14	0	0.0
26459767	26459830	63	107	3	1	44	1	0.0227	1	52	1	0.0192	1	14	0	0.0
26484063	26484520	457	28	3	1	20	12	0.6	1	16	12	0.75	1	10	9	0.9
26484520	26484728	208	31	3	1	21	13	0.619	1	18	14	0.7778	1	11	10	0.9091
26484728	26484755	27	31	3	1	21	13	0.619	1	18	14	0.7778	1	11	10	0.9091
26484755	26484758	3	31	3	1	21	13	0.619	1	18	14	0.7778	1	11	10	0.9091
26484758	26484935	177	32	3	1	21	13	0.619	1	19	15	0.7895	1	11	10	0.9091
26484935	26485145	210	37	3	1	22	14	0.6364	1	21	17	0.8095	1	12	11	0.9167
26485145	26485326	181	39	3	1	22	14	0.6364	1	22	18	0.8182	1	12	11	0.9167
26485326	26485378	52	38	3	1	21	14	0.6667	1	22	18	0.8182	1	11	10	0.9091
26485378	26485455	77	40	3	1	21	14	0.6667	1	23	19	0.8261	1	11	10	0.9091
26485455	26485695	240	44	3	1	22	15	0.6818	1	26	22	0.8462	1	11	10	0.9091
26485695	26487930	2235	62	3	1	27	21	0.7778	1	34	30	0.8824	1	12	11	0.9167
26487930	26488253	323	60	3	1	25	21	0.84	1	32	30	0.9375	1	11	10	0.9091
26488253	26488543	290	61	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488543	26488658	115	61	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488658	26488700	42	61	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488700	26488720	20	62	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488720	26488770	50	62	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488770	26488842	72	62	3	1	26	22	0.8462	1	33	31	0.9394	1	11	10	0.9091
26488842	26488849	7	63	3	1	27	23	0.8519	1	34	32	0.9412	1	11	10	0.9091
26488849	26488982	133	64	3	1	27	23	0.8519	1	35	33	0.9429	1	11	10	0.9091
26488982	26489012	30	63	3	1	26	22	0.8462	1	34	32	0.9412	1	10	9	0.9
26489012	26489061	49	63	3	1	26	22	0.8462	1	34	32	0.9412	1	10	9	0.9
26489061	26489067	6	63	3	1	26	22	0.8462	1	34	32	0.9412	1	10	9	0.9
26489067	26489403	336	67	3	1	27	23	0.8519	1	36	34	0.9444	1	10	9	0.9
26489403	26489476	73	67	3	1	27	23	0.8519	1	36	34	0.9444	1	10	9	0.9
26489476	26489524	48	67	3	1	27	23	0.8519	1	36	34	0.9444	1	10	9	0.9
26489524	26489557	33	67	3	1	27	23	0.8519	1	36	34	0.9444	1	10	9	0.9
26489557	26489726	169	68	3	1	27	23	0.8519	1	36	34	0.9444	1	10	9	0.9
26489835	26489919	84	70	3	1	28	24	0.8571	1	37	35	0.9459	1	10	9	0.9
26490366	26490431	65	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490431	26490516	85	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490516	26490527	11	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490527	26490608	81	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490608	26490664	56	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490664	26490763	99	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490763	26490799	36	75	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490799	26490991	192	76	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26490991	26491016	25	76	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26491016	26491017	1	76	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26491017	26491128	111	76	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26491128	26491202	74	76	3	1	30	27	0.9	1	39	38	0.9744	1	10	9	0.9
26491202	26491410	208	77	3	1	31	28	0.9032	1	40	39	0.975	1	11	10	0.9091
26540374	26540377	3	31	3	1	28	24	0.8571	1	28	28	1.0	1	16	16	1.0
26540377	26545073	4696	84	3	1	43	39	0.907	1	53	53	1.0	1	18	18	1.0
26545073	26545105	32	76	3	1	35	35	1.0	1	45	45	1.0	1	16	16	1.0
26545105	26545249	144	78	3	1	36	36	1.0	1	46	46	1.0	1	16	16	1.0
26545249	26545277	28	78	3	1	36	36	1.0	1	46	46	1.0	1	16	16	1.0
26545277	26545315	38	78	3	1	36	36	1.0	1	46	46	1.0	1	16	16	1.0
26545315	26545709	394	78	3	1	36	36	1.0	1	46	46	1.0	1	16	16	1.0
26545709	26545758	49	76	3	1	34	34	1.0	1	44	44	1.0	1	16	16	1.0
26545758	26545870	112	76	3	1	34	34	1.0	1	44	44	1.0	1	16	16	1.0
26545870	26545912	42	76	3	1	34	34	1.0	1	44	44	1.0	1	16	16	1.0
26545912	26545928	16	76	3	1	34	34	1.0	1	44	44	1.0	1	16	16	1.0
26548725	26549599	874	93	3	1	39	39	1.0	1	48	48	1.0	1	16	16	1.0
26549599	26549635	36	92	3	1	38	38	1.0	1	46	46	1.0	1	14	14	1.0
26549635	26549836	201	96	3	1	38	38	1.0	1	48	48	1.0	1	14	14	1.0
26549836	26549849	13	96	3	1	38	37	0.9737	1	47	47	1.0	1	14	13	0.9286
26549849	26549994	145	98	3	1	40	37	0.925	1	48	48	1.0	1	16	13	0.8125
26549994	26550160	166	99	3	1	41	38	0.9268	1	49	49	1.0	1	16	13	0.8125
26550160	26550274	114	98	3	1	40	37	0.925	1	48	48	1.0	1	15	12	0.8
26550274	26550282	8	98	3	1	40	37	0.925	1	48	48	1.0	1	15	12	0.8
26550282	26550295	13	98	3	1	40	37	0.925	1	48	48	1.0	1	15	12	0.8
26550295	26550297	2	97	3	1	39	36	0.9231	1	47	47	1.0	1	14	11	0.7857
26550297	26550339	42	97	3	1	39	36	0.9231	1	47	47	1.0	1	14	11	0.7857
26550339	26550376	37	97	3	1	39	36	0.9231	1	47	47	1.0	1	14	11	0.7857
26550376	26550400	24	97	3	1	39	36	0.9231	1	47	47	1.0	1	14	11	0.7857
26550400	26550406	6	97	3	1	39	36	0.9231	1	47	47	1.0	1	14	11	0.7857
26550406	26550446	40	98	3	1	40	37	0.925	1	48	48	1.0	1	15	12	0.8
26550446	26550489	43	99	3	1	41	37	0.9024	1	48	48	1.0	1	16	12	0.75
26550489	26550529	40	99	3	1	41	37	0.9024	1	48	48	1.0	1	16	12	0.75
26550529	26550796	267	100	3	1	41	37	0.9024	1	48	48	1.0	1	16	12	0.75
26550796	26550807	11	100	3	1	40	36	0.9	1	48	48	1.0	1	15	11	0.7333
26550807	26550928	121	101	3	1	41	37	0.9024	1	49	49	1.0	1	15	11	0.7333
26550928	26551349	421	103	3	1	42	37	0.881	1	49	49	1.0	1	16	11	0.6875
26551349	26551413	64	102	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551413	26551421	8	103	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551421	26551668	247	105	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551668	26551699	31	105	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551699	26551706	7	105	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551706	26551849	143	106	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26551849	26551903	54	106	3	1	41	36	0.878	1	48	48	1.0	1	15	10	0.6667
26552120	26552241	121	107	3	1	39	34	0.8718	1	48	48	1.0	1	14	9	0.6429
26552241	26552248	7	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552248	26552271	23	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552271	26552288	17	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552288	26552293	5	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552293	26552336	43	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552336	26552370	34	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552370	26552371	1	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552371	26552378	7	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552378	26552397	19	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552397	26552413	16	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552413	26552459	46	106	3	1	38	33	0.8684	1	47	47	1.0	1	13	8	0.6154
26552459	26552478	19	107	3	1	38	33	0.8684	1	48	48	1.0	1	13	8	0.6154
26552478	26552488	10	106	3	1	38	33	0.8684	1	48	48	1.0	1	13	8	0.6154
26552488	26552499	11	106	3	1	38	33	0.8684	1	48	48	1.0	1	13	8	0.6154
26552499	26552507	8	106	3	1	38	33	0.8684	1	48	48	1.0	1	13	8	0.6154
26552556	26552567	11	107	3	1	39	34	0.8718	1	49	49	1.0	1	13	8	0.6154
26552567	26552583	16	107	3	1	39	34	0.8718	1	49	49	1.0	1	13	8	0.6154
26552583	26552668	85	108	3	1	39	34	0.8718	1	50	50	1.0	1	13	8	0.6154
26552726	26552969	243	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26552969	26553057	88	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553057	26553086	29	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553086	26553164	78	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553164	26553171	7	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553171	26553178	7	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553178	26553193	15	109	3	1	40	35	0.875	1	51	51	1.0	1	13	8	0.6154
26553193	26553336	143	110	3	1	40	35	0.875	1	52	52	1.0	1	13	8	0.6154
26553336	26553353	17	109	3	1	39	34	0.8718	1	51	51	1.0	1	12	7	0.5833
26553353	26553396	43	109	3	1	39	34	0.8718	1	51	51	1.0	1	12	7	0.5833
26553396	26553480	84	110	3	1	39	34	0.8718	1	51	51	1.0	1	12	7	0.5833
26553480	26553500	20	110	3	1	39	34	0.8718	1	51	51	1.0	1	12	7	0.5833
26553500	26553575	75	111	3	1	40	34	0.85	1	52	51	0.9808	1	13	7	0.5385
26553575	26553679	104	111	3	1	40	34	0.85	1	52	51	0.9808	1	13	7	0.5385
26553679	26553715	36	111	3	1	40	34	0.85	1	52	51	0.9808	1	13	7	0.5385
26553715	26553929	214	111	3	1	40	34	0.85	1	52	51	0.9808	1	13	7	0.5385
26553929	26554069	140	110	3	1	40	34	0.85	1	52	51	0.9808	1	13	7	0.5385
26554069	26554133	64	109	3	1	40	34	0.85	1	51	50	0.9804	1	13	7	0.5385
26554133	26554137	4	109	3	1	40	34	0.85	1	51	50	0.9804	1	13	7	0.5385
26554137	26554139	2	109	3	1	40	34	0.85	1	51	50	0.9804	1	13	7	0.5385
26554139	26554840	701	112	3	1	42	35	0.8333	1	52	51	0.9808	1	13	7	0.5385
26555429	26563075	7646	122	3	1	52	38	0.7308	1	58	53	0.9138	1	11	4	0.3636
26563075	26563209	134	87	3	1	47	33	0.7021	1	48	43	0.8958	1	11	4	0.3636
26563209	26563211	2	86	3	1	47	33	0.7021	1	48	43	0.8958	1	11	4	0.3636
26563211	26563339	128	86	3	1	47	33	0.7021	1	48	43	0.8958	1	11	4	0.3636
26563339	26563401	62	85	3	1	47	33	0.7021	1	48	43	0.8958	1	11	4	0.3636
26563422	26563596	174	85	3	1	47	33	0.7021	1	48	43	0.8958	1	11	4	0.3636
26563596	26563631	35	85	3	1	48	34	0.7083	1	49	44	0.898	1	11	4	0.3636
26563631	26563788	157	81	3	1	46	32	0.6957	1	45	40	0.8889	1	11	4	0.3636
26565135	26565239	104	75	3	1	46	32	0.6957	1	46	40	0.8696	1	11	4	0.3636
26566849	26566989	140	74	3	1	46	33	0.7174	1	49	39	0.7959	1	10	4	0.4
26566989	26566994	5	73	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26566994	26567053	59	73	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26567061	26567154	93	73	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26567154	26567160	6	72	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26567160	26567214	54	72	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26567214	26567339	125	71	3	1	46	33	0.7174	1	48	38	0.7917	1	10	4	0.4
26567489	26567757	268	73	3	1	48	35	0.7292	1	50	40	0.8	1	11	5	0.4545
26567757	26567780	23	72	3	1	47	35	0.7447	1	49	39	0.7959	1	10	5	0.5
26567780	26567855	75	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26567855	26567881	26	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26567881	26567976	95	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26567976	26567995	19	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26567995	26568018	23	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26568099	26568128	29	69	3	1	45	33	0.7333	1	46	36	0.7826	1	10	5	0.5
26568128	26568207	79	69	3	1	45	33	0.7333	1	46	36	0.7826	1	10	5	0.5
26568297	26568412	115	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26568496	26568513	17	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26568513	26568519	6	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26568519	26568573	54	71	3	1	47	35	0.7447	1	48	38	0.7917	1	10	5	0.5
26568573	26569116	543	72	3	1	48	36	0.75	1	49	39	0.7959	1	11	6	0.5455
26569116	26569287	171	72	3	1	47	35	0.7447	1	49	39	0.7959	1	11	6	0.5455
26569287	26569780	493	75	3	1	49	38	0.7755	1	52	43	0.8269	1	14	9	0.6429
26569780	26570677	897	73	3	1	47	36	0.766	1	50	41	0.82	1	15	10	0.6667
26570677	26570695	18	63	3	1	45	35	0.7778	1	46	37	0.8043	1	14	10	0.7143
26570695	26570735	40	65	3	1	46	36	0.7826	1	47	38	0.8085	1	14	10	0.7143
26570735	26570772	37	65	3	1	46	36	0.7826	1	47	38	0.8085	1	14	10	0.7143
26570772	26570818	46	66	3	1	47	37	0.7872	1	48	39	0.8125	1	14	10	0.7143
26570818	26570836	18	66	3	1	47	37	0.7872	1	48	39	0.8125	1	14	10	0.7143
