chromosome	tool	competitor_ps	competitor_accuracy	competitor_reads	competitor_discordant_reads	gap_start	gap_end	gap_bp	left_graph_ps	right_graph_ps	truth_hets	shared_hets	catalog_sites	graph_candidates	graph_phased_sites	private_sites	competitor_phased_sites	clean_het_snps	clean_het_indels	repeat_het_indels	filtered_ref_only	filtered_high_af	filtered_low_af	filtered_low_depth	filtered_no_reads	primary_reason
chr12	hiphase	71300657	0.9958	3556	15	71669061	71706173	37112	71630159	71706173	4	3	504	5	0	0	3	0	0	6	494	3	4	0	0	repeat_indels_excluded
chr12	hiphase	101521460	0.9954	2174	10	101909034	101946124	37090	101633408	101946124	4	3	462	3	0	0	3	0	0	3	453	8	3	1	0	repeat_indels_excluded
chr12	hiphase	14548492	0.9938	3203	20	14614161	14650919	36758	14593040	14650919	2	1	521	5	0	0	1	1	0	4	468	47	3	0	0	clean_candidate_unphased
chr12	hiphase	67715332	0.9982	6247	11	68024665	68061404	36739	67715509	68061404	2	2	445	2	0	0	2	1	0	1	410	33	1	0	0	clean_candidate_unphased
chr12	hiphase	124572917	0.9964	5806	21	125879755	125915690	35935	125609135	125920680	3	4	470	3	0	0	4	0	0	4	452	14	2	0	0	repeat_indels_excluded
chr12	hiphase	43783842	0.9935	2315	15	43806602	43842492	35890	43783841	43843417	4	4	528	9	1	0	4	0	1	9	513	3	5	0	0	block_stitching
chr12	hiphase	49829339	0.9985	7551	11	49947042	49982739	35697	49904294	49983466	5	1	396	8	0	0	1	0	0	9	377	10	12	2	0	repeat_indels_excluded
chr12	hiphase	51957337	0.9973	2254	6	52072854	52108512	35658	51966331	52108512	3	2	567	5	0	0	2	0	0	6	556	5	4	1	0	repeat_indels_excluded
chr12	hiphase	91046459	0.9981	10393	20	91609290	91644696	35406	91136572	91644696	2	3	365	2	0	0	3	0	0	2	348	15	1	0	0	repeat_indels_excluded
chr12	hiphase	29693044	1.0	1503	0	29694358	29728273	33915	29693043	29735657	2	1	670	1	0	0	1	0	0	1	667	0	4	0	0	repeat_indels_excluded
chr12	hiphase	44471515	0.9945	4010	22	45121638	45155523	33885	44543246	45155523	5	4	414	4	0	0	4	0	0	4	406	2	3	0	0	repeat_indels_excluded
chr12	hiphase	47157890	0.9964	3873	14	47524269	47558144	33875	47157890	47558144	1	1	386	2	0	1	1	0	0	2	337	49	1	0	0	repeat_indels_excluded
chr12	hiphase	130506653	0.9979	4690	10	131021291	131054942	33651	130700747	131055807	3	2	617	2	0	1	2	0	0	2	611	3	1	0	0	repeat_indels_excluded
chr12	hiphase	21226317	0.9971	3508	10	21263902	21297420	33518	21229205	21297420	1	1	481	2	0	1	1	0	0	2	409	72	0	1	0	repeat_indels_excluded
chr12	hiphase	7381521	0.9972	7405	21	8993812	9026863	33051	8701984	9032347	2	2	377	3	1	0	2	1	0	2	373	1	0	0	0	block_stitching
chr12	hiphase	2569088	0.9974	1949	5	2576854	2609646	32792	2569088	2609646	1	1	335	0	0	1	1	0	0	0	332	1	3	0	0	catalog_site_not_candidate
chr12	hiphase	41912119	0.9949	4115	21	42114546	42146984	32438	41912119	42146984	3	3	415	5	0	0	3	0	0	6	407	4	3	0	0	repeat_indels_excluded
chr12	hiphase	53581087	0.9956	687	3	53631960	53664380	32420	53621455	53664380	5	5	441	4	0	0	5	0	0	4	358	91	1	4	0	repeat_indels_excluded
chr12	hiphase	75848538	1.0	1189	0	75886047	75918045	31998	75851330	75920552	3	5	467	2	0	0	4	0	0	2	406	59	2	0	0	repeat_indels_excluded
chr12	hiphase	91046459	0.9981	10393	20	93154408	93186257	31849	93071066	93189013	2	2	391	7	0	0	1	0	0	9	378	1	5	0	0	repeat_indels_excluded
chr12	hiphase	123744174	0.9944	1954	11	123774338	123806180	31842	123744174	123822475	3	2	413	7	1	1	2	1	0	6	403	0	6	0	0	block_stitching
chr12	hiphase	16391848	0.9958	8304	35	17777902	17809309	31407	17645134	17809308	4	4	365	2	0	0	4	0	0	4	343	19	4	0	0	repeat_indels_excluded
chr12	hiphase	26654396	0.9989	12813	14	27750070	27781166	31096	27308951	27785226	4	3	338	4	0	0	3	0	0	7	276	65	0	4	0	repeat_indels_excluded
chr12	hiphase	22787334	0.9995	2047	1	23079903	23110923	31020	22787334	23121221	2	1	295	2	0	0	1	0	0	3	289	3	2	0	0	repeat_indels_excluded
chr12	hiphase	91046459	0.9981	10393	20	91071755	91102669	30914	91046459	91102669	5	4	434	12	0	0	4	0	0	13	393	33	3	0	0	repeat_indels_excluded
chr12	hiphase	81411073	0.9977	5746	13	81455709	81486485	30776	81418141	81486485	2	2	343	1	0	0	2	0	0	1	310	33	1	1	0	repeat_indels_excluded
chr12	hiphase	51758759	0.9942	694	4	51805217	51835817	30600	51758759	51853315	2	1	404	2	1	0	1	1	0	1	393	1	9	0	0	block_stitching
chr12	hiphase	96763665	0.9927	409	3	96767308	96797501	30193	96763665	96797949	2	2	318	1	0	0	1	0	0	1	281	36	1	1	0	repeat_indels_excluded
chr12	hiphase	86319902	0.9944	533	3	86330477	86360625	30148	86320764	86360625	1	1	441	1	0	0	1	0	0	1	391	47	3	0	0	repeat_indels_excluded
chr12	hiphase	44471515	0.9945	4010	22	45166366	45196016	29650	45155523	45196016	1	1	376	5	0	0	1	0	0	8	367	1	4	0	0	repeat_indels_excluded
chr12	hiphase	97370965	0.9967	6035	20	97571177	97600354	29177	97425743	97600354	2	2	413	4	0	0	2	0	0	4	375	39	0	0	0	repeat_indels_excluded
chr12	hiphase	72311416	0.9964	278	1	72330965	72359792	28827	72312016	72359792	1	1	349	4	0	0	1	0	0	5	333	10	3	0	0	repeat_indels_excluded
chr12	hiphase	107884588	0.9997	7607	2	109658890	109687437	28547	109005512	109689312	5	5	369	6	0	0	5	2	0	4	358	2	4	0	0	clean_candidate_unphased
chr12	hiphase	84776720	0.9972	704	2	84788243	84816737	28494	84776720	84823505	2	4	388	4	0	0	2	0	0	9	322	67	0	1	0	repeat_indels_excluded
chr12	hiphase	101178384	1.0	1246	0	101311033	101339241	28208	101178810	101339241	1	2	317	2	0	0	1	0	0	2	266	50	1	0	0	repeat_indels_excluded
chr12	hiphase	45394406	1.0	982	0	45407561	45435615	28054	45394628	45435615	1	1	336	3	0	0	1	0	0	4	279	54	0	0	3	repeat_indels_excluded
chr12	hiphase	101521460	0.9954	2174	10	101605481	101633408	27927	101532168	101633408	2	2	399	3	0	0	2	0	0	3	372	27	0	1	0	repeat_indels_excluded
chr12	hiphase	126568848	0.9991	2184	2	126932709	126960369	27660	126844939	126960367	1	1	416	0	1	0	1	0	0	0	351	65	0	0	0	block_stitching
chr12	hiphase	128607742	0.9984	4256	7	129490069	129517639	27570	129390056	129521465	1	1	400	2	0	0	1	0	0	2	350	51	1	0	0	repeat_indels_excluded
chr12	hiphase	23298149	0.9945	3632	20	23757924	23785124	27200	23256978	23785124	2	2	327	4	0	1	2	1	0	3	298	25	3	0	0	clean_candidate_unphased
chr12	hiphase	30751694	1.0	283	0	30763965	30790911	26946	30751694	30790911	1	1	374	2	0	0	1	0	0	2	357	17	1	0	0	repeat_indels_excluded
chr12	hiphase	41912119	0.9949	4115	21	42236067	42262833	26766	42232108	42262833	4	4	332	5	0	0	3	0	0	7	322	0	5	0	0	repeat_indels_excluded
chr12	hiphase	124572917	0.9964	5806	21	125928910	125955433	26523	125920680	125955433	6	5	414	9	0	0	4	1	0	14	399	3	10	0	1	clean_candidate_unphased
chr12	hiphase	61156279	0.9934	4710	31	61172711	61198989	26278	61156279	61207164	4	3	442	6	0	0	3	2	0	6	416	25	0	1	0	clean_candidate_unphased
chr12	hiphase	56621636	0.9992	3805	3	56951919	56978140	26221	56625505	56978140	2	2	234	3	0	0	1	0	0	3	228	2	2	0	0	repeat_indels_excluded
chr12	hiphase	81092816	1.0	964	0	81101421	81127126	25705	81092816	81127402	0	0	367	0	0	0	0	0	0	0	366	0	1	0	0	catalog_site_not_candidate
chr12	hiphase	91046459	0.9981	10393	20	91103561	91128678	25117	91102669	91136572	2	2	269	3	0	0	2	0	0	4	264	2	2	0	0	repeat_indels_excluded
chr12	hiphase	23298149	0.9945	3632	20	23833971	23858836	24865	23785124	23858836	4	2	385	4	0	0	2	0	0	5	378	10	1	2	0	repeat_indels_excluded
chr12	hiphase	124572917	0.9964	5806	21	125364026	125388534	24508	125064983	125388534	0	0	291	0	0	0	0	0	0	0	274	17	0	0	0	catalog_site_not_candidate
chr12	hiphase	81411073	0.9977	5746	13	81956288	81980667	24379	81513844	81980667	0	0	300	0	0	0	0	0	0	0	298	1	1	0	0	catalog_site_not_candidate
chr12	hiphase	47157890	0.9964	3873	14	47948274	47972498	24224	47689100	47972498	3	2	298	1	0	0	2	0	0	1	246	55	0	0	0	repeat_indels_excluded
chr12	hiphase	107884588	0.9997	7607	2	108939730	108963909	24179	107884588	108963909	1	1	361	2	0	0	1	0	0	4	356	2	1	0	0	repeat_indels_excluded
chr12	hiphase	53497805	0.9929	282	2	53521755	53545876	24121	53497805	53553859	1	1	223	2	0	0	1	0	0	2	182	41	3	2	0	repeat_indels_excluded
chr12	hiphase	131894154	0.9953	634	3	131920889	131944887	23998	131907627	131955227	2	1	309	7	0	0	1	0	0	9	299	1	5	0	0	repeat_indels_excluded
chr12	hiphase	112802342	0.9961	3870	15	113354298	113378104	23806	112802342	113378104	3	3	333	8	0	0	3	1	0	9	315	6	8	1	0	clean_candidate_unphased
chr12	hiphase	103465161	0.9984	6976	11	104727659	104751072	23413	103691597	104755431	2	2	279	1	0	0	1	0	0	1	231	50	3	0	0	repeat_indels_excluded
chr12	hiphase	120369904	0.9992	3667	3	121256761	121280056	23295	120377082	121280056	3	3	333	3	0	1	2	0	0	3	327	1	3	0	0	repeat_indels_excluded
chr12	hiphase	51758759	0.9942	694	4	51902847	51926107	23260	51853315	51926107	1	1	231	3	0	0	1	0	0	4	227	0	2	0	0	repeat_indels_excluded
chr12	hiphase	112802342	0.9961	3870	15	113600698	113623816	23118	113378104	113623816	3	3	347	3	0	0	3	0	0	4	340	6	1	0	1	repeat_indels_excluded
chr12	hiphase	86319902	0.9944	533	3	86373106	86396039	22933	86360625	86396039	7	7	301	5	0	0	5	1	0	5	287	11	3	9	0	clean_candidate_unphased
chr12	hiphase	16391848	0.9958	8304	35	17828771	17851500	22729	17809308	17851500	0	1	322	3	0	0	1	0	0	3	302	20	2	0	0	repeat_indels_excluded
chr12	hiphase	65929643	0.9976	7175	17	67468235	67490822	22587	67070984	67494573	0	0	275	2	0	0	0	0	1	1	265	9	1	0	0	clean_candidate_unphased
chr12	hiphase	2015747	0.9968	928	3	2030274	2052322	22048	2014545	2059247	0	0	299	1	0	0	0	0	0	2	295	0	4	0	0	repeat_indels_excluded
chr12	hiphase	94509663	0.999	9789	10	96381641	96403552	21911	95813559	96403552	0	0	281	2	0	0	0	0	0	3	249	32	0	1	0	repeat_indels_excluded
chr12	hiphase	115642949	0.9994	11305	7	117781348	117803258	21910	117404271	117806448	4	2	344	1	0	0	2	0	0	1	338	2	3	0	0	repeat_indels_excluded
chr12	hiphase	15696672	0.9926	2829	21	15948599	15970450	21851	15803821	15984808	2	2	278	1	0	0	2	0	0	1	269	9	0	2	0	repeat_indels_excluded
chr12	hiphase	16391848	0.9958	8304	35	16487624	16509411	21787	16391848	16516402	0	0	172	1	0	0	0	0	0	1	152	21	0	0	0	repeat_indels_excluded
chr12	hiphase	16391848	0.9958	8304	35	17611859	17633563	21704	17208561	17645134	4	3	409	1	0	0	3	0	0	1	321	89	0	0	8	repeat_indels_excluded
chr12	hiphase	64010101	0.9961	1529	6	64080957	64102459	21502	64070387	64110030	1	0	218	0	0	0	0	0	0	0	218	0	0	0	0	catalog_site_not_candidate
chr12	hiphase	486909	0.9904	6369	61	1582019	1603397	21378	859855	1612109	2	1	336	2	0	0	1	0	0	3	327	9	0	1	0	repeat_indels_excluded
chr12	hiphase	21226317	0.9971	3508	10	21662343	21683588	21245	21661964	21683586	0	0	252	2	1	0	0	0	0	2	248	0	2	0	0	block_stitching
chr12	hiphase	74876286	0.9992	3877	3	75204598	75225703	21105	75173819	75232062	3	3	218	1	0	1	3	0	0	1	216	1	0	0	0	repeat_indels_excluded
chr12	hiphase	91046459	0.9981	10393	20	92229887	92250896	21009	91644696	92264984	1	0	215	4	0	0	0	0	0	5	210	1	0	0	0	repeat_indels_excluded
chr12	hiphase	74876286	0.9992	3877	3	75148081	75169039	20958	74920741	75173819	0	0	246	1	0	0	0	0	0	1	214	34	0	1	0	repeat_indels_excluded
chr12	hiphase	7381521	0.9972	7405	21	8381294	8402164	20870	8286940	8404941	1	1	422	2	0	0	0	0	0	2	355	64	4	0	0	repeat_indels_excluded
chr12	hiphase	76226371	0.9969	4886	15	76742549	76763305	20756	76254701	76763305	3	2	274	3	0	0	2	0	0	3	259	14	0	0	0	repeat_indels_excluded
chr12	hiphase	43783842	0.9935	2315	15	43874898	43895653	20755	43843417	43908809	1	1	275	3	0	0	1	0	0	3	272	0	1	0	0	repeat_indels_excluded
chr12	hiphase	113877375	0.9974	6867	18	114889774	114910453	20679	114571923	114924471	0	0	290	1	0	0	0	0	0	1	255	34	0	1	0	repeat_indels_excluded
chr12	hiphase	57871670	0.9967	3651	12	57925210	57945851	20641	57875794	57949476	2	2	258	2	0	0	2	0	0	5	254	2	0	0	0	repeat_indels_excluded
chr12	hiphase	43783842	0.9935	2315	15	43945661	43966295	20634	43908809	43975492	0	0	229	2	0	0	0	0	0	2	227	0	0	0	0	repeat_indels_excluded
chr12	hiphase	76226371	0.9969	4886	15	76826907	76847400	20493	76763305	76849452	5	8	274	2	0	0	7	0	0	4	231	44	0	0	0	repeat_indels_excluded
chr12	hiphase	61156279	0.9934	4710	31	61982945	62003283	20338	61893578	62003283	1	1	314	2	0	0	1	0	0	2	282	29	0	0	3	repeat_indels_excluded
chr12	hiphase	87227486	0.9937	6209	39	87242489	87262488	19999	87227486	87262488	1	0	292	5	0	0	0	0	0	6	287	0	1	0	0	repeat_indels_excluded
chr12	hiphase	87227486	0.9937	6209	39	88103483	88123462	19979	87757052	88123461	0	0	203	2	0	0	0	0	0	4	200	1	1	0	0	repeat_indels_excluded
chr12	hiphase	107519685	0.9919	1364	11	107624124	107643866	19742	107617590	107653833	2	2	228	3	0	0	2	0	0	5	217	8	2	0	0	repeat_indels_excluded
chr12	hiphase	2569088	0.9974	1949	5	2950398	2970124	19726	2609646	2970124	2	3	359	3	0	0	3	0	0	3	334	19	3	2	0	repeat_indels_excluded
chr12	hiphase	64010101	0.9961	1529	6	64050910	64070387	19477	64013748	64070387	0	1	211	4	0	0	1	0	0	4	207	1	2	0	0	repeat_indels_excluded
chr12	hiphase	40493795	0.999	1038	1	40555554	40574501	18947	40493795	40574501	1	1	257	1	0	0	1	0	0	1	227	30	0	1	0	repeat_indels_excluded
chr12	hiphase	14548492	0.9938	3203	20	14574410	14593041	18631	14548492	14593040	0	0	317	3	1	0	0	0	0	3	267	45	1	0	0	block_stitching
chr12	hiphase	72401267	0.9994	1795	1	72702954	72721435	18481	72401267	72733778	0	0	231	0	0	0	0	0	0	0	227	3	3	0	0	catalog_site_not_candidate
chr12	hiphase	40342650	0.9967	606	2	40400850	40419330	18480	40342650	40419983	0	0	259	0	0	0	0	0	0	0	258	0	1	0	0	catalog_site_not_candidate
chr12	hiphase	16391848	0.9958	8304	35	16916787	16935146	18359	16516402	16935942	0	0	212	2	0	0	0	0	0	2	201	9	2	0	0	repeat_indels_excluded
chr12	hiphase	115642949	0.9994	11305	7	116552026	116570310	18284	115655282	116574596	1	2	266	3	0	0	1	0	0	3	260	4	6	0	0	repeat_indels_excluded
chr12	hiphase	98775768	0.9995	6574	3	98899411	98917671	18260	98775768	98931012	1	1	190	1	0	1	1	0	0	1	187	2	0	0	0	repeat_indels_excluded
chr12	hiphase	124572917	0.9964	5806	21	124796413	124814425	18012	124613904	124831165	1	1	278	1	0	0	1	0	0	1	254	24	0	0	0	repeat_indels_excluded
chr12	hiphase	115642949	0.9994	11305	7	117080027	117098025	17998	116574596	117106425	0	0	278	2	0	0	0	0	0	2	255	19	2	0	0	repeat_indels_excluded
chr12	hiphase	54849449	0.9988	2428	3	55318625	55336476	17851	55302341	55349124	1	0	287	2	0	0	0	0	0	7	283	1	0	0	0	repeat_indels_excluded
chr12	hiphase	23298149	0.9945	3632	20	24007406	24025010	17604	23992113	24036248	3	1	268	3	1	0	1	2	0	1	239	27	0	0	0	block_stitching
chr12	hiphase	24071938	0.9993	4259	3	24106886	24124230	17344	24080947	24129119	0	0	251	0	0	0	0	0	0	0	247	3	1	0	0	catalog_site_not_candidate
chr12	hiphase	26654396	0.9989	12813	14	27291687	27308951	17264	26722053	27308951	4	3	203	3	0	0	3	0	0	4	179	20	5	1	0	repeat_indels_excluded
chr12	hiphase	82917208	0.9969	640	2	82982632	82999465	16833	82921558	82999465	1	0	302	3	0	0	0	0	0	4	296	3	1	0	0	repeat_indels_excluded
chr12	hiphase	113877375	0.9974	6867	18	114549268	114566057	16789	113976310	114571923	3	3	299	4	0	0	3	2	0	2	293	0	1	0	0	clean_candidate_unphased
chr12	hiphase	486909	0.9904	6369	61	833447	850059	16612	776600	859855	1	0	188	1	0	0	0	0	0	1	185	3	1	0	0	repeat_indels_excluded
chr12	hiphase	41912119	0.9949	4115	21	42668404	42684873	16469	42262833	42686879	1	1	275	1	0	0	1	0	0	2	229	48	1	1	0	repeat_indels_excluded
chr12	hiphase	101178384	1.0	1246	0	101406042	101422137	16095	101339241	101423341	46	37	250	3	0	0	36	0	0	3	113	0	0	0	134	repeat_indels_excluded
chr12	hiphase	22239381	0.9957	2310	10	22429778	22445431	15653	22321325	22454608	4	2	167	5	0	0	2	0	0	6	162	1	0	0	0	repeat_indels_excluded
chr12	hiphase	486909	0.9904	6369	61	756080	771534	15454	516773	776600	1	1	176	1	0	0	1	0	0	1	174	0	1	0	0	repeat_indels_excluded
chr12	hiphase	77378059	0.9929	1412	10	77588922	77604272	15350	77512968	77610001	1	1	159	3	0	0	1	0	0	7	155	1	0	0	0	repeat_indels_excluded
chr12	hiphase	97370965	0.9967	6035	20	98354085	98369322	15237	97600354	98378528	1	1	193	2	0	0	1	0	0	2	164	29	0	0	0	repeat_indels_excluded
chr12	hiphase	23298149	0.9945	3632	20	23976939	23992113	15174	23858836	23992113	2	3	200	5	0	0	3	0	0	7	179	20	1	1	0	repeat_indels_excluded
chr12	hiphase	11450380	0.9992	7064	6	12188747	12203352	14605	12124498	12203352	0	0	247	1	0	0	0	0	0	1	222	18	7	1	0	repeat_indels_excluded
chr12	hiphase	71300657	0.9958	3556	15	71347041	71361523	14482	71300672	71373459	0	0	229	0	0	0	0	0	0	0	226	2	2	1	0	catalog_site_not_candidate
chr12	hiphase	132175918	0.9952	2900	14	133017624	133032024	14400	133012499	133032024	0	0	415	5	0	0	0	0	0	6	404	3	3	0	0	repeat_indels_excluded
chr12	hiphase	21226317	0.9971	3508	10	21647582	21661964	14382	21605811	21661964	0	0	133	1	0	0	0	0	0	1	131	1	1	0	0	repeat_indels_excluded
chr12	hiphase	7381521	0.9972	7405	21	8169830	8183801	13971	7969637	8183789	2	1	221	3	1	0	1	0	0	3	215	2	1	0	0	block_stitching
chr12	hiphase	7381521	0.9972	7405	21	7952408	7965829	13421	7381521	7969637	0	1	246	1	0	0	1	0	0	1	209	37	2	1	1	repeat_indels_excluded
chr12	hiphase	53777856	0.9987	1503	2	53968634	53981933	13299	53818198	53990646	6	2	201	9	0	0	2	0	0	11	183	11	2	2	0	repeat_indels_excluded
chr12	hiphase	7381521	0.9972	7405	21	8688810	8701999	13189	8404941	8701984	3	2	179	6	2	0	1	2	0	4	169	6	4	0	0	block_stitching
chr12	hiphase	61156279	0.9934	4710	31	62033872	62046948	13076	62003283	62059122	3	3	175	2	0	0	3	0	0	2	148	23	4	0	0	repeat_indels_excluded
chr12	hiphase	7381521	0.9972	7405	21	8235470	8248466	12996	8183789	8251459	24	23	324	0	0	0	23	0	0	0	250	0	0	14	60	catalog_site_not_candidate
chr12	hiphase	76226371	0.9969	4886	15	76926832	76939598	12766	76849452	76939595	2	2	167	9	1	0	1	1	0	9	153	1	6	0	0	block_stitching
chr12	hiphase	51957337	0.9973	2254	6	52191505	52204083	12578	52108512	52204083	4	3	161	5	0	0	3	0	0	8	155	3	0	0	0	repeat_indels_excluded
chr12	hiphase	11450380	0.9992	7064	6	12817103	12829502	12399	12569852	12840984	3	4	173	8	1	0	2	3	0	8	162	3	3	1	0	block_stitching
chr12	hiphase	15696672	0.9926	2829	21	16213193	16225083	11890	15984808	16225083	1	1	165	0	0	0	1	0	0	0	159	7	0	0	0	catalog_site_not_candidate
chr12	hiphase	94509663	0.999	9789	10	94671884	94683651	11767	94509663	94683651	0	0	245	1	0	0	0	0	0	1	234	9	1	0	0	repeat_indels_excluded
chr12	hiphase	49829339	0.9985	7551	11	51296213	51307931	11718	50621186	51317352	1	1	135	3	0	0	1	0	0	3	129	1	3	0	0	repeat_indels_excluded
