gap_left	gap_right	gap_bp	status	bottleneck_pos	demoted_informative	demoted_ambiguous	demoted_phantom	demoted_unscorable	link_clean	link_all_demoted	link_truth_validated
49115016	49158744	43728	split	49127301	1	3	7	0	0	50	0
49681894	49845376	163482	split	49682915	1	2	1	0	0	4	0
50099530	50147908	48378	split	50099530	0	1	5	1	0	10	0
51235063	51287372	52309	split	51235063	3	1	4	0	0	2	0
52394827	52434849	40022	split	52394827	2	1	6	0	0	49	0
52661951	52727684	65733	split	52670561	1	3	3	0	0	33	0
54419033	54453020	33987	split	54419033	7	2	4	1	0	26	0
55309475	55382729	73254	split	55309475	6	10	13	0	0	61	60
55999194	56040612	41418	split	56007708	2	3	3	4	0	2	0
56150368	56201931	51563	split	56175806	5	1	9	0	0	59	0
56206359	56350725	144366	split	56293853	0	0	2	0	0	10	0
56497168	56568153	70985	split	56514888	0	0	3	0	0	55	0
57085410	57119478	34068	split	57087318	3	0	9	0	0	67	4
57465653	57528647	62994	split	57465653	2	1	5	0	0	5	1
57568292	57661366	93074	split	57568292	4	0	2	0	0	21	0
57764235	57836194	71959	split	57764235	5	0	9	1	0	17	0
58247272	58318451	71179	split	58247716	4	4	5	0	0	56	0
58358691	58391091	32400	split	58366569	2	5	14	0	0	40	0
58421174	58453158	31984	split	58421174	0	0	12	0	0	21	0
58703912	58747200	43288	split	58717412	1	0	2	1	0	34	0
60005003	60058235	53232	split	60033223	1	2	0	0	0	45	45
60090439	60132282	41843	split	60090700	0	0	4	0	0	11	0
60243600	60286266	42666	split	60257964	4	6	5	0	0	56	0
60447075	60467115	20040	split	60467115	9	0	5	1	0	53	0
60693683	60739811	46128	split	60693683	0	0	2	0	0	4	0
60880575	60980031	99456	split	60897963	0	0	3	0	0	13	0
60991759	61037147	45388	split	60991759	0	0	3	0	0	7	0
61298365	61327386	29021	split	61298365	6	8	6	0	0	51	0
61440518	61487311	46793	split	61455118	2	2	2	0	0	17	0
61874243	61914474	40231	split	61874243	0	1	5	0	0	4	0
62335971	62385548	49577	split	62351421	0	0	6	0	0	17	0
62408056	62432427	24371	split	62410640	5	2	1	0	0	4	4
