gap_left	gap_right	gap_bp	status	bottleneck_pos	bottleneck_is_junction	link_reads_ours	link_reads_potential	reads_spanning	reads_spanning_pass_mapq	our_sites_near	potential_sites_near	target_beg	target_end	cause	remedy	graph_clean_near	graph_repeat_indels_near	graph_low_af_near	link_clean	link_with_repeat_indels	link_with_low_af	revised_cause
38053801	38153151	99350	split	38053801	True	0	0	70	69	18	32	38028801	38078801	thin_linkage	gated_admission_then_msa	15	16	10	0	0	0	no_linkage_from_any_site_class
38203612	38236063	32451	split	38236063	True	0	0	67	67	3	4	38211063	38261063	thin_linkage	gated_admission_then_msa	2	13	6	0	26	26	repeat_indels_would_bridge
39171490	39204674	33184	split	39171490	True	0	0	68	68	11	11	39146490	39196490	thin_linkage	gated_admission_then_msa	7	8	3	0	0	55	low_af_sites_would_bridge
39241049	39286408	45359	split	39241049	True	0	0	52	52	3	3	39216049	39266049	thin_linkage	gated_admission_then_msa	3	4	1	0	10	10	repeat_indels_would_bridge
40620806	40741068	120262	split	40636577	False	0	0	37	37	15	27	40611577	40661577	thin_linkage	gated_admission_then_msa	14	12	7	0	28	29	repeat_indels_would_bridge
41351604	41404861	53257	split	41366544	False	0	0	71	71	1	9	41341544	41391544	thin_linkage	gated_admission_then_msa	2	4	1	0	0	0	no_linkage_from_any_site_class
41425338	41539049	113711	split	41425338	True	0	0	73	73	3	4	41400338	41450338	thin_linkage	gated_admission_then_msa	3	0	1	0	0	0	no_linkage_from_any_site_class
42006406	42128667	122261	split	42018630	False	0	0	81	80	52	42	41993630	42043630	thin_linkage	gated_admission_then_msa	49	6	5	0	14	69	repeat_indels_would_bridge
42414096	42543112	129016	split	42414096	True	0	0	56	56	23	26	42389096	42439096	thin_linkage	gated_admission_then_msa	21	4	5	0	0	0	no_linkage_from_any_site_class
43688351	45143091	1454740	split	43688351	True	0	0	84	83	53	55	43663351	43713351	thin_linkage	gated_admission_then_msa	51	6	3	0	0	52	low_af_sites_would_bridge
45143095	45896820	753725	split	45143095	True	0	0	72	72	2	2	45118095	45168095	thin_linkage	gated_admission_then_msa	1	6	8	0	29	48	repeat_indels_would_bridge
46636707	46663811	27104	split	46636707	True	0	0	63	62	3	3	46611707	46661707	thin_linkage	gated_admission_then_msa	2	4	7	0	31	31	repeat_indels_would_bridge
46835333	46896191	60858	split	46844833	False	0	0	84	83	10	10	46819833	46869833	thin_linkage	gated_admission_then_msa	8	0	3	0	0	39	low_af_sites_would_bridge
47738673	47762233	23560	split	47738673	True	0	1	58	57	4	7	47713673	47763673	thin_linkage	gated_admission_then_msa	4	11	3	0	1	30	low_af_sites_would_bridge
48094709	48229446	134737	split	48097235	False	0	0	68	66	4	5	48072235	48122235	thin_linkage	gated_admission_then_msa	4	6	6	0	21	30	repeat_indels_would_bridge
48952538	49062203	109665	split	48982678	False	0	0	52	50	2	4	48957678	49007678	thin_linkage	gated_admission_then_msa	1	5	14	0	16	21	repeat_indels_would_bridge
49115016	49158744	43728	split	49127301	False	0	0	58	58	4	8	49102301	49152301	thin_linkage	gated_admission_then_msa	2	11	15	0	50	52	repeat_indels_would_bridge
49399971	49478563	78592	split	49399971	True	0	0	56	55	18	24	49374971	49424971	thin_linkage	gated_admission_then_msa	19	5	7	0	0	9	low_af_sites_would_bridge
49681894	49845376	163482	split	49682915	False	0	0	59	59	72	76	49657915	49707915	thin_linkage	gated_admission_then_msa	40	4	3	0	4	4	repeat_indels_would_bridge
49934880	49964968	30088	split	49934880	True	0	0	65	65	30	36	49909880	49959880	thin_linkage	gated_admission_then_msa	29	3	1	0	0	0	no_linkage_from_any_site_class
50099530	50147908	48378	split	50099530	True	0	0	66	66	9	13	50074530	50124530	thin_linkage	gated_admission_then_msa	10	7	3	0	10	10	repeat_indels_would_bridge
51235063	51287372	52309	split	51235063	True	0	0	56	55	9	13	51210063	51260063	thin_linkage	gated_admission_then_msa	7	8	7	0	2	2	repeat_indels_would_bridge
52267263	52376121	108858	split	52267263	True	0	0	50	49	42	52	52242263	52292263	thin_linkage	gated_admission_then_msa	43	24	14	0	0	5	low_af_sites_would_bridge
52394827	52434849	40022	split	52394827	True	0	0	61	60	6	8	52369827	52419827	thin_linkage	gated_admission_then_msa	6	9	11	0	49	49	repeat_indels_would_bridge
52661951	52727684	65733	split	52670561	False	0	0	74	74	3	4	52645561	52695561	thin_linkage	gated_admission_then_msa	1	7	8	0	33	69	repeat_indels_would_bridge
54419033	54453020	33987	split	54419033	True	0	0	86	86	57	67	54394033	54444033	thin_linkage	gated_admission_then_msa	56	14	5	0	26	26	repeat_indels_would_bridge
55309475	55382729	73254	split	55309475	True	0	0	67	67	39	54	55284475	55334475	thin_linkage	gated_admission_then_msa	37	29	15	0	61	61	repeat_indels_would_bridge
55782438	55824242	41804	split	55782438	True	0	0	81	81	26	28	55757438	55807438	thin_linkage	gated_admission_then_msa	23	6	3	0	0	0	no_linkage_from_any_site_class
55843827	55889113	45286	split	55843827	True	0	1	72	72	6	8	55818827	55868827	thin_linkage	gated_admission_then_msa	6	7	1	0	1	1	no_linkage_from_any_site_class
55999194	56040612	41418	split	56007708	False	0	0	76	76	2	5	55982708	56032708	thin_linkage	gated_admission_then_msa	1	12	4	0	2	2	repeat_indels_would_bridge
56150368	56201931	51563	split	56175806	False	0	10	85	85	0	7	56150806	56200806	sites_not_called	msa_discovery_required	1	15	7	0	59	59	repeat_indels_would_bridge
56206359	56350725	144366	split	56293853	False	0	0	78	76	5	5	56268853	56318853	thin_linkage	gated_admission_then_msa	1	2	0	0	10	10	repeat_indels_would_bridge
56497168	56568153	70985	split	56514888	False	0	0	59	59	1	4	56489888	56539888	thin_linkage	gated_admission_then_msa	1	3	2	0	55	55	repeat_indels_would_bridge
57085410	57119478	34068	split	57087318	False	0	0	77	77	5	8	57062318	57112318	thin_linkage	gated_admission_then_msa	4	12	3	0	67	67	repeat_indels_would_bridge
57465653	57528647	62994	split	57465653	True	0	1	80	80	4	8	57440653	57490653	thin_linkage	gated_admission_then_msa	6	8	6	0	5	5	repeat_indels_would_bridge
57568292	57661366	93074	split	57568292	True	0	0	78	77	18	19	57543292	57593292	thin_linkage	gated_admission_then_msa	16	6	2	0	21	21	repeat_indels_would_bridge
57764235	57836194	71959	split	57764235	True	0	0	65	64	23	32	57739235	57789235	thin_linkage	gated_admission_then_msa	22	15	5	0	17	17	repeat_indels_would_bridge
58247272	58318451	71179	split	58247716	False	0	0	70	70	68	75	58222716	58272716	thin_linkage	gated_admission_then_msa	65	13	2	0	56	56	repeat_indels_would_bridge
58358691	58391091	32400	split	58366569	False	0	0	51	50	18	25	58341569	58391569	thin_linkage	gated_admission_then_msa	18	21	11	0	40	40	repeat_indels_would_bridge
58421174	58453158	31984	split	58421174	True	0	0	57	57	2	2	58396174	58446174	thin_linkage	gated_admission_then_msa	2	12	8	0	21	25	repeat_indels_would_bridge
58703912	58747200	43288	split	58717412	False	0	0	62	62	2	5	58692412	58742412	thin_linkage	gated_admission_then_msa	2	4	10	0	34	61	repeat_indels_would_bridge
58808403	58849519	41116	split	58808403	True	0	0	58	58	7	7	58783403	58833403	thin_linkage	gated_admission_then_msa	8	1	10	0	0	4	low_af_sites_would_bridge
58989436	59046421	56985	split	59004744	False	0	0	62	62	3	4	58979744	59029744	thin_linkage	gated_admission_then_msa	1	3	1	0	1	16	low_af_sites_would_bridge
59825454	59850390	24936	split	59826849	False	0	0	59	59	9	12	59801849	59851849	thin_linkage	gated_admission_then_msa	9	4	3	0	0	0	no_linkage_from_any_site_class
60005003	60058235	53232	split	60033223	False	0	13	63	63	2	7	60008223	60058223	sites_not_called	msa_discovery_required	1	3	7	0	45	45	repeat_indels_would_bridge
60090439	60132282	41843	split	60090700	False	0	0	53	53	3	3	60065700	60115700	thin_linkage	gated_admission_then_msa	1	4	1	0	11	11	repeat_indels_would_bridge
60243600	60286266	42666	split	60257964	False	0	0	79	78	5	7	60232964	60282964	thin_linkage	gated_admission_then_msa	5	15	1	0	56	56	repeat_indels_would_bridge
60447075	60467115	20040	split	60467115	True	0	9	65	64	61	79	60442115	60492115	sites_not_called	msa_discovery_required	59	15	2	0	53	58	repeat_indels_would_bridge
60528530	60552043	23513	split	60528530	True	0	0	68	67	12	18	60503530	60553530	thin_linkage	gated_admission_then_msa	11	9	4	0	0	12	low_af_sites_would_bridge
60567680	60686879	119199	split	60581816	False	0	0	61	61	5	5	60556816	60606816	thin_linkage	gated_admission_then_msa	2	5	0	0	0	0	no_linkage_from_any_site_class
60693683	60739811	46128	split	60693683	True	0	6	64	64	8	12	60668683	60718683	sites_not_called	msa_discovery_required	8	2	9	0	4	51	repeat_indels_would_bridge
60880575	60980031	99456	split	60897963	False	0	0	73	72	6	6	60872963	60922963	thin_linkage	gated_admission_then_msa	3	3	5	0	13	13	repeat_indels_would_bridge
60991759	61037147	45388	split	60991759	True	0	0	61	61	3	3	60966759	61016759	thin_linkage	gated_admission_then_msa	2	3	5	0	7	31	repeat_indels_would_bridge
61093029	61144543	51514	split	61115820	False	0	0	64	63	5	7	61090820	61140820	thin_linkage	gated_admission_then_msa	3	4	8	0	0	0	no_linkage_from_any_site_class
61298365	61327386	29021	split	61298365	True	0	0	69	69	23	36	61273365	61323365	thin_linkage	gated_admission_then_msa	24	20	2	0	51	51	repeat_indels_would_bridge
61343859	61405579	61720	split	61343859	True	0	0	80	80	3	4	61318859	61368859	thin_linkage	gated_admission_then_msa	4	1	2	1	1	1	no_linkage_from_any_site_class
61440518	61487311	46793	split	61455118	False	0	0	56	56	5	10	61430118	61480118	thin_linkage	gated_admission_then_msa	6	6	1	0	17	17	repeat_indels_would_bridge
61664136	61690751	26615	split	61690751	True	0	0	86	84	5	5	61665751	61715751	thin_linkage	gated_admission_then_msa	5	3	4	0	1	1	no_linkage_from_any_site_class
61874243	61914474	40231	split	61874243	True	0	0	54	54	16	20	61849243	61899243	thin_linkage	gated_admission_then_msa	15	6	4	0	4	7	repeat_indels_would_bridge
62335971	62385548	49577	split	62351421	False	0	0	75	73	4	3	62326421	62376421	thin_linkage	gated_admission_then_msa	3	6	0	0	17	17	repeat_indels_would_bridge
62408056	62432427	24371	split	62410640	False	0	4	86	84	31	38	62385640	62435640	sites_not_called	msa_discovery_required	30	8	3	0	4	4	repeat_indels_would_bridge
63159367	63182011	22644	split	63159367	True	0	0	58	56	7	8	63134367	63184367	thin_linkage	gated_admission_then_msa	6	0	4	0	0	0	no_linkage_from_any_site_class
64902581	64913827	11246	split	64902581	True	0	1	6	6	113	125	64877581	64927581	thin_linkage	gated_admission_then_msa	112	11	6	0	1	1	no_linkage_from_any_site_class
