region	left	right	clean_target	clean_total_reads_evaluated	clean_discordant_reads	clean_total_phase_sets	clean_switchflip_errors	recovery2_target	recovery2_total_reads_evaluated	recovery2_discordant_reads	recovery2_total_phase_sets	recovery2_switchflip_errors	original_reads_preserved	added_tagged_reads
chr20_50540995_50562066	50540995	50562066	split	437	2	2	2	joined	437	2	1	2	437	0
chr20_51145921_51165532	51145921	51165532	split	399	1	2	1	joined	399	1	1	1	399	0
chr20_53926537_53962801	53926537	53962801	split	486	0	2	0	joined	486	0	1	0	486	0
chr20_54675445_54702072	54675445	54702072	split	444	0	2	0	joined	444	0	1	0	444	0
chr20_54894127_54912022	54894127	54912022	split	419	0	2	0	joined	419	0	1	0	419	0
chr20_54976339_54988434	54976339	54988434	split	430	0	2	0	joined	488	0	1	0	430	58
chr20_55472966_55492323	55472966	55492323	split	452	0	2	0	joined	452	0	1	0	452	0
chr20_55843827_55889113	55843827	55889113	split	358	0	2	0	joined	358	0	1	0	358	0
chr20_55999561_56040612	55999561	56040612	split	308	0	2	0	joined	308	0	1	0	308	0
chr20_56064697_56100715	56064697	56100715	split	274	0	2	0	joined	274	0	1	0	274	0
chr20_56671109_56679959	56671109	56679959	split	339	0	2	0	joined	366	0	1	0	339	27
chr20_56726836_56740521	56726836	56740521	split	401	0	2	0	joined	410	0	1	0	401	9
chr20_56881860_56909075	56881860	56909075	split	471	0	2	0	joined	476	0	1	0	471	5
chr20_57087239_57119478	57087239	57119478	split	366	0	2	0	split	391	0	2	0	366	25
chr20_57667169_57688923	57667169	57688923	split	325	0	3	0	joined	325	0	2	0	325	0
chr20_57764235_57785772	57764235	57785772	split	284	1	2	1	joined	284	1	1	1	284	0
chr20_57841772_57866713	57841772	57866713	split	167	0	2	0	joined	167	0	1	0	167	0
chr20_57911734_57934951	57911734	57934951	split	339	0	2	0	joined	339	0	1	0	339	0
chr20_58392336_58419975	58392336	58419975	split	291	1	4	1	joined	291	1	2	1	291	0
chr20_58703912_58758263	58703912	58758263	split	348	1	2	1	joined	348	1	1	1	348	0
chr20_59825454_59867460	59825454	59867460	split	427	0	2	0	joined	427	0	1	0	427	0
chr20_60033052_60056028	60033052	60056028	split	144	0	2	0	split	144	0	2	0	144	0
chr20_60063142_60114911	60063142	60114911	split	206	0	3	0	joined	206	0	2	0	210	0
chr20_61664136_61690751	61664136	61690751	split	263	0	2	0	split	283	0	2	0	263	20
chr20_62410496_62432427	62410496	62432427	split	386	0	2	0	joined	386	0	1	0	386	0
chr20_62623253_62637077	62623253	62637077	split	313	1	2	1	joined	313	1	1	1	313	0
chr20_63945865_63969922	63945865	63969922	split	422	0	2	0	joined	422	0	1	0	422	0
chr20_64902581_64905482	64902581	64905482	split	335	0	2	0	split	335	0	2	0	335	0
chr20_26602087_26651086	26602087	26651086	endpoint_unphased	97	34	2	14	endpoint_unphased	99	34	2	15	97	2
chr20_34864445_34893642	34864445	34893642	split	317	0	2	0	split	317	0	2	0	317	0
chr20_26626247_26651086	26626247	26651086	endpoint_unphased	90	31	2	11	endpoint_unphased	91	31	2	12	90	1
chr20_33210466_33233843	33210466	33233843	split	298	0	2	0	joined	298	0	1	0	298	0
chr20_1912570_1913912	1912570	1913912	split	354	30	2	7	endpoint_unphased	354	30	1	10	354	0
chr20_3786668_3806891	3786668	3806891	split	330	0	2	0	joined	330	0	1	0	330	0
chr20_4011717_4022923	4011717	4022923	split	301	0	2	0	joined	302	0	1	0	301	1
chr20_36032227_36056601	36032227	36056601	split	117	0	3	0	joined	117	0	2	0	117	0
chr20_39838293_39856144	39838293	39856144	split	454	0	2	0	joined	460	0	1	0	454	6
chr20_42184827_42208160	42184827	42208160	split	336	0	2	0	joined	336	0	1	0	336	0
chr20_46384021_46407462	46384021	46407462	split	424	0	2	0	joined	424	0	1	0	424	0
chr20_46609387_46629630	46609387	46629630	split	366	0	3	0	joined	366	0	2	0	366	0
chr20_47002481_47026671	47002481	47026671	split	293	0	2	0	joined	322	0	1	0	293	29
chr20_49071976_49102876	49071976	49102876	split	80	0	2	0	joined	90	0	1	0	80	10
chr20_51142695_51165532	51142695	51165532	split	438	1	2	1	joined	438	1	1	1	438	0
chr20_54547514_54590762	54547514	54590762	split	532	0	2	0	joined	541	0	1	0	532	9
chr20_54976282_54993445	54976282	54993445	split	456	0	2	0	joined	514	0	1	0	456	58
chr20_55472966_55492791	55472966	55492791	split	452	0	2	0	joined	452	0	1	0	452	0
chr20_56662188_56679959	56662188	56679959	split	377	0	2	0	joined	404	0	1	0	377	27
chr20_56880401_56909075	56880401	56909075	split	472	0	2	0	joined	477	0	1	0	472	5
chr20_61732321_61782778	61732321	61782778	split	276	1	2	1	joined	330	3	1	3	276	54
chr20_62623253_62645168	62623253	62645168	split	342	1	2	1	joined	342	1	1	1	342	0
chr20_64128828_64144962	64128828	64144962	split	274	0	2	0	joined	316	0	1	0	274	42
