gap_beg	gap_end	gap_bp	graph_left	graph_right	hiphase_spans	hiphase_ps	hiphase_ps_beg	hiphase_ps_end	hiphase_het_sites	spanning_reads	scored_reads	concordant_reads	discordant_reads	truth_concordance	local_phase_purity	bam_spans	recovery_spans
26630858	26631781	924	26630857	26631782	1	26533570	26533570	27585562	3092	11	11	5	6	0.4545	0.5455	1	0
26764498	26764632	135	26764497	26764633	1	26533570	26533570	27585562	3092	30	30	8	22	0.2667	0.7333	0	0
26853468	26853477	10	26853467	26853478	1	26533570	26533570	27585562	3092	15	15	7	8	0.4667	0.5333	0	0
26854645	26854826	182	26854644	26854827	1	26533570	26533570	27585562	3092	12	12	7	5	0.5833	0.5833	0	0
26909032	26917465	8434	26909031	26917466	1	26533570	26533570	27585562	3092	10	10	9	1	0.9000	0.9000	0	0
26917467	26925879	8413	26917466	26925880	1	26533570	26533570	27585562	3092	10	10	10	0	1.0000	1.0000	0	0
29164988	29165020	33	29164987	29165021	1	29035742	29035742	30676199	3478	6	6	4	2	0.6667	0.6667	0	1
29244669	29244971	303	29244668	29244972	1	29035742	29035742	30676199	3478	23	23	6	17	0.2609	0.7391	0	0
30786477	30786580	104	30786476	30786581	1	30780554	30780554	31798131	2639	28	28	14	14	0.5000	0.5000	1	0
31807200	31807361	162	31807199	31807362	0	.	0	0	0	0	0	0	0	.	.	0	0
32431752	32432268	517	32431751	32432269	1	32426829	32426829	32442905	3	2	0	0	0	.	.	0	0
33233816	33233842	27	33233815	33233843	1	32891138	32891138	33311535	778	48	48	48	0	1.0000	1.0000	1	0
33788624	33792637	4014	33788623	33792638	0	.	0	0	0	0	0	0	0	.	.	1	1
33812284	33819341	7058	33812283	33819342	0	.	0	0	0	0	0	0	0	.	.	0	0
33840458	33843243	2786	33840457	33843244	0	.	0	0	0	0	0	0	0	.	.	0	0
33954612	33958452	3841	33954611	33958453	1	33954611	33954611	34135913	23	57	57	57	0	1.0000	1.0000	1	0
34094605	34102866	8262	34094604	34102867	1	33954611	33954611	34135913	23	30	30	30	0	1.0000	1.0000	0	0
34153513	34162218	8706	34153512	34162219	0	.	0	0	0	0	0	0	0	.	.	0	0
35210621	35212958	2338	35210620	35212959	0	.	0	0	0	0	0	0	0	.	.	0	0
35319922	35328964	9043	35319921	35328965	1	35211758	35211758	35370461	22	27	27	24	3	0.8889	0.8889	1	0
35613764	35613764	1	35613763	35613765	1	35516845	35516845	35958934	477	56	56	56	0	1.0000	1.0000	1	0
36261164	36268290	7127	36261163	36268291	1	36137653	36137653	37393302	1093	30	30	29	1	0.9667	0.9667	1	1
36365795	36373834	8040	36365794	36373835	1	36137653	36137653	37393302	1093	32	32	30	2	0.9375	0.9375	0	0
36373838	36380737	6900	36373837	36380738	1	36137653	36137653	37393302	1093	17	17	17	0	1.0000	1.0000	1	0
36625560	36629320	3761	36625559	36629321	1	36137653	36137653	37393302	1093	48	48	44	4	0.9167	0.9167	1	0
36887651	36895000	7350	36887650	36895001	1	36137653	36137653	37393302	1093	38	38	36	2	0.9474	0.9474	0	0
37462000	37466819	4820	37461999	37466820	0	.	0	0	0	0	0	0	0	.	.	0	0
37606444	37606621	178	37606443	37606622	0	.	0	0	0	0	0	0	0	.	.	1	0
40633645	40636353	2709	40633644	40636354	0	.	0	0	0	0	0	0	0	.	.	0	0
44778042	44779026	985	44778041	44779027	0	.	0	0	0	0	0	0	0	.	.	1	0
45158401	45160961	2561	45158400	45160962	0	.	0	0	0	0	0	0	0	.	.	0	1
45329939	45330582	644	45329938	45330583	0	.	0	0	0	0	0	0	0	.	.	1	1
45796092	45796934	843	45796091	45796935	0	.	0	0	0	0	0	0	0	.	.	1	0
45854429	45859663	5235	45854428	45859664	0	.	0	0	0	0	0	0	0	.	.	1	0
46405049	46407461	2413	46405048	46407462	1	45866904	45866904	46636707	759	58	58	58	0	1.0000	1.0000	1	0
48225787	48229445	3659	48225786	48229446	1	48149548	48149548	48982663	1095	51	51	51	0	1.0000	1.0000	0	0
49060138	49062202	2065	49060137	49062203	0	.	0	0	0	0	0	0	0	.	.	0	0
49470366	49478562	8197	49470365	49478563	0	.	0	0	0	0	0	0	0	.	.	1	1
51156349	51165531	9183	51156348	51165532	1	50127297	50127297	51235063	1651	40	40	36	4	0.9000	0.9000	0	0
52294203	52303112	8910	52294202	52303113	0	.	0	0	0	0	0	0	0	.	.	0	0
54565262	54569071	3810	54565261	54569072	1	54453020	54453020	55309794	871	52	52	50	2	0.9615	0.9615	0	0
55357277	55360775	3499	55357276	55360776	0	.	0	0	0	0	0	0	0	.	.	0	0
55381473	55382728	1256	55381472	55382729	1	55360776	55360776	55782438	429	53	53	53	0	1.0000	1.0000	1	0
55815776	55824241	8466	55815775	55824242	1	55815775	55815775	56293581	329	25	25	24	1	0.9600	0.9600	0	0
57655294	57661365	6072	57655293	57661366	1	57655293	57655293	57797732	107	51	51	48	3	0.9412	0.9412	0	0
60048238	60058234	9997	60048237	60058235	1	58834248	58834248	60257960	1595	32	32	32	0	1.0000	1.0000	1	0
60722059	60723582	1524	60722058	60723583	1	60722058	60722058	60897873	204	56	56	55	1	0.9821	0.9821	1	0
63968893	63969921	1029	63968892	63969922	1	63182011	63182011	66206480	5820	61	61	60	1	0.9836	0.9836	1	0
65509650	65509897	248	65509649	65509898	1	63182011	63182011	66206480	5820	6	6	0	6	0.0000	1.0000	0	0
65511684	65513878	2195	65511683	65513879	1	63182011	63182011	66206480	5820	4	4	0	4	0.0000	1.0000	0	0
65994906	65995586	681	65994905	65995587	1	63182011	63182011	66206480	5820	50	50	0	50	0.0000	1.0000	1	0
