gap_left	gap_right	gap_bp	left_ps	right_ps	left_block_bp	right_block_bp	left_block_sites	right_block_sites	reads_overlapping	reads_contained	reads_untagged	reads_untagged_pass_mapq30
11202282	11230331	28049	11157086	11230331	45196	1336	86	2	209	52	52	50
11231667	11262361	30694	11230331	11262361	1336	97992	2	50	230	75	75	70
11360353	11386626	26273	11262361	11386626	97992	40117	50	8	212	49	49	43
11426743	11447789	21046	11386626	11447789	40117	4189	8	3	150	32	32	30
11451978	11497008	45030	11447789	11497008	4189	20841	3	2	284	132	132	126
11517849	11599138	81289	11497008	11599138	20841	102134	2	54	446	297	297	290
11701272	11813617	112345	11599138	11813617	102134	30703	54	5	578	423	392	375
11844320	11869724	25404	11813617	11869724	30703	386348	5	414	182	42	42	40
12256072	12277078	21006	11869724	12277078	386348	133997	414	202	180	28	28	26
12411075	12458901	47826	12277078	12458901	133997	214632	202	527	286	133	133	129
12673533	12700826	27293	12458901	12700826	214632	16970	527	20	210	55	55	53
12717796	12752291	34495	12700826	12752291	16970	202587	20	293	219	92	92	85
12954878	13136021	181143	12752291	13136021	202587	41831	293	74	834	694	694	681
13177852	13208341	30489	13136021	13208341	41831	21761	74	2	190	48	48	47
13230102	13253590	23488	13208341	13253590	21761	77444	2	115	185	44	44	40
13331034	13353672	22638	13253590	13353672	77444	23858	115	28	153	29	29	27
13377530	13410186	32656	13353672	13410186	23858	19643	28	2	237	78	78	70
13429829	13631825	201996	13410186	13631825	19643	57727	2	27	1022	899	746	726
13689552	13751618	62066	13631825	13751618	57727	69373	27	8	317	179	179	177
13820991	13882832	61841	13751618	13882832	69373	9530	8	5	331	215	145	135
13892362	14272741	380379	13882832	14272741	9530	173554	5	167	1667	1531	1462	1425
14446295	14470800	24505	14272741	14470800	173554	106846	167	53	152	29	31	28
14577646	14612632	34986	14470800	14612632	106846	31557	53	3	242	82	83	82
14644189	14729749	85560	14612632	14729749	31557	285805	3	235	443	304	228	217
15015554	15071175	55621	14729749	15071175	285805	16046	235	3	301	163	179	171
15087221	15115387	28166	15071175	15115387	16046	192629	3	263	186	48	48	48
15308016	15367800	59784	15115387	15367800	192629	12709	263	2	401	238	146	139
15380509	15413105	32596	15367800	15413105	12709	155231	2	159	199	67	67	64
15568336	15606878	38542	15413105	15606878	155231	28463	159	23	227	93	93	87
15635341	15668483	33142	15606878	15668483	28463	1005276	23	1339	217	82	89	85
16673759	16715241	41482	15668483	16715241	1005276	18289	1339	84	253	136	136	134
16733530	16773052	39522	16715241	16773052	18289	54846	84	51	253	108	109	101
16827898	16854021	26123	16773052	16854021	54846	46310	51	7	164	49	49	46
16900331	16926069	25738	16854021	16926069	46310	561768	7	701	186	43	43	41
17487837	17521341	33504	16926069	17521341	561768	86439	701	132	202	77	77	75
17607780	17679082	71302	17521341	17679082	86439	144940	132	118	330	228	158	157
17824022	17883198	59176	17679082	17883198	144940	311610	118	431	296	183	183	173
18194808	18218259	23451	17883198	18218259	311610	196074	431	253	166	40	40	33
18414333	18442592	28259	18218259	18442592	196074	525042	253	684	188	50	50	45
18967634	18999993	32359	18442592	18999993	525042	321051	684	354	223	79	79	75
19321044	19341833	20789	18999993	19341833	321051	17162	354	2	154	22	22	22
19358995	19414719	55724	19341833	19414719	17162	49500	2	29	290	151	89	80
19464219	19526088	61869	19414719	19526088	49500	966954	29	1043	327	187	119	114
20493042	20523884	30842	19526088	20523884	966954	0	1043	2	189	71	71	66
20523884	20540928	17044	20523884	20540928	0	14557	2	2	143	13	13	10
20555485	20617179	61694	20540928	20617179	14557	45390	2	6	353	217	135	127
20662569	20813640	151071	20617179	20813640	45390	60807	6	44	706	553	346	328
20874447	20895876	21429	20813640	20895876	60807	209847	44	193	146	24	24	22
21105723	21172501	66778	20895876	21172501	209847	7305	193	2	371	231	244	237
21179806	21777525	597719	21172501	21777525	7305	1085	2	5	2634	2500	2036	1969
21778610	21866681	88071	21777525	21866681	1085	32504	5	3	445	320	320	308
21899185	21961092	61907	21866681	21961092	32504	490005	3	642	355	215	215	208
22451097	22481532	30435	21961092	22481532	490005	16369	642	3	206	60	60	59
22497901	22520628	22727	22481532	22520628	16369	3454	3	2	159	28	28	27
22524082	22668436	144354	22520628	22668436	3454	312164	2	192	633	511	402	389
22980600	23008891	28291	22668436	23008891	312164	412112	192	457	195	63	63	59
23421003	23445252	24249	23008891	23445251	412112	15711	457	3	147	31	31	28
23460963	23503225	42262	23445251	23503225	15711	186022	3	251	227	106	106	98
23689247	23810819	121572	23503225	23810819	186022	77944	251	193	539	422	278	263
23888763	24012605	123842	23810819	24012604	77944	68560	193	10	544	424	246	230
24081165	24142287	61122	24012604	24142287	68560	213534	10	354	324	186	129	121
24355821	24379633	23812	24142287	24379633	213534	187235	354	112	139	26	26	25
24566868	24601281	34413	24379633	24601280	187235	476332	112	862	227	91	91	87
25077613	25102178	24565	24601280	25102178	476332	831052	862	995	128	31	31	27
25933230	25971072	37842	25102178	25971072	831052	423299	995	953	224	72	113	18
26394371	26400369	5998	25971072	26400369	423299	143744	953	347	55	0	0	0
26544113	26544218	105	26400369	26544218	143744	67140	347	669	56	0	18	0
26611358	26611640	282	26544218	26611640	67140	2838	669	2	303	0	145	0
26614478	26614787	309	26611640	26614787	2838	300668	2	436	299	0	150	0
26915455	26916293	838	26614787	26916293	300668	34760	436	369	49	0	0	0
26951053	26951055	2	26916293	26951055	34760	388	369	38	71	0	5	0
26951443	26951453	10	26951055	26951453	388	18267	38	152	73	0	5	0
26969720	27003155	33435	26951453	27003155	18267	161396	152	288	245	38	58	2
27164551	28993414	1828863	27003155	28993414	161396	50239	288	204	9583	9550	9550	183
29043653	29043819	166	28993414	29043818	50239	101644	204	417	6	0	0	0
29145463	29146724	1261	29043818	29146724	101644	8536	417	41	41	0	3	0
29155260	29160891	5631	29146724	29160891	8536	209770	41	1166	35	0	1	0
29370661	29409009	38348	29160891	29409009	209770	7337	1166	75	167	56	61	3
29416346	29440378	24032	29409009	29440378	7337	28691	75	53	106	5	18	0
29469069	29471151	2082	29440378	29471151	28691	94	53	2	77	0	6	0
29471245	29471253	8	29471151	29471252	94	1189398	2	2024	48	0	4	0
30660651	30791916	131265	29471252	30791916	1189398	68	2024	2	112	21	34	5
30791984	30794399	2415	30791916	30794399	68	563	2	5	46	0	17	2
30794962	30814005	19043	30794399	30814005	563	930060	5	1967	111	0	12	0
31744065	31766466	22401	30814005	31766466	930060	12240	1967	55	94	11	12	4
31778706	31787078	8372	31766466	31787078	12240	25797	55	17	87	1	26	0
31812875	31815950	3075	31787078	31815950	25797	3075	17	2	45	0	28	0
31819025	31832998	13973	31815950	31832998	3075	24232	2	168	72	3	33	0
31857230	31865219	7989	31832998	31865219	24232	185129	168	583	15	1	7	0
32050348	32161078	110730	31865219	32161078	185129	15434	583	55	128	87	75	2
32176512	32206530	30018	32161078	32206530	15434	501	55	7	138	30	74	17
32207031	32233534	26503	32206530	32233534	501	18953	7	36	118	21	24	8
32252487	32279126	26639	32233534	32279126	18953	297	36	2	32	9	20	0
32279423	32312705	33282	32279126	32312705	297	240	2	21	53	27	34	0
32312945	32312955	10	32312705	32312955	240	21	21	2	13	0	1	0
32312976	32312979	3	32312955	32312979	21	2235	2	106	13	0	1	0
32315214	32333068	17854	32312979	32333068	2235	1676	106	116	80	6	18	0
32334744	32337918	3174	32333068	32337918	1676	11365	116	14	72	0	18	0
32349283	32432269	82986	32337918	32432269	11365	854	14	57	137	92	94	35
32433123	32449112	15989	32432269	32449112	854	915	57	51	50	5	5	0
32450027	32467816	17789	32449112	32467816	915	20	51	2	51	3	3	1
32467836	32483491	15655	32467816	32483491	20	36825	2	155	38	2	2	0
32520316	32598895	78579	32483491	32598895	36825	8474	155	73	131	102	108	63
32607369	32626387	19018	32598895	32626387	8474	1292	73	89	102	25	63	8
32627679	32869206	241527	32626387	32869206	1292	341456	89	743	479	410	445	43
33210662	33233843	23181	32869206	33233842	341456	62133	743	10	137	36	36	36
33295976	33360820	64844	33233842	33360820	62133	386764	10	289	265	170	170	164
33747584	33843268	95684	33360820	33843268	386764	22238	289	3	447	329	230	224
33865506	33901531	36025	33843268	33901530	22238	8333	3	3	210	85	85	84
33909864	34018169	108305	33901530	34018168	8333	8200	3	2	488	376	245	231
34026369	34055920	29551	34018168	34055920	8200	23370	2	3	212	68	68	66
34079290	34134418	55128	34055920	34134418	23370	686	3	2	328	190	190	181
34135104	34162219	27115	34134418	34162219	686	586767	2	673	172	40	40	39
34748986	34772931	23945	34162219	34772931	586767	18411	673	4	159	43	43	40
34791342	34811747	20405	34772931	34811747	18411	6571	4	2	141	22	23	22
34818318	34844579	26261	34811747	34844579	6571	19866	2	4	144	35	36	33
34864445	34893642	29197	34844579	34893642	19866	186017	4	75	189	62	62	59
35079659	35517815	438156	34893642	35517815	186017	95941	75	68	1664	1537	1520	1484
35919404	36156319	236915	35613756	36156319	305648	16459	258	6	1025	879	747	709
36172778	36209945	37167	36156319	36209945	16459	7329	6	2	220	92	92	85
36217274	36268291	51017	36209945	36268291	7329	267	2	2	278	134	71	69
36268558	36317511	48953	36268291	36317511	267	15088	2	2	227	104	104	100
36332599	36381019	48420	36317511	36381019	15088	217108	2	161	276	160	160	154
36598127	36629321	31194	36381019	36629321	217108	763981	161	584	193	61	29	27
37393302	37426498	33196	36629321	37426498	763981	15537	584	3	215	73	73	72
37442035	37497514	55479	37426498	37497514	15537	15893	3	3	324	177	177	171
37513407	37567375	53968	37497514	37567375	15893	9736	3	2	290	171	171	167
37577111	37606622	29511	37567375	37606622	9736	3601	2	2	200	71	74	72
37610223	37667751	57528	37606622	37667751	3601	315204	2	140	249	135	83	80
37982955	38005400	22445	37667751	38005400	315204	48401	140	28	131	24	29	27
38053801	38153151	99350	38005400	38153151	48401	233	28	3	463	332	332	323
38153384	38177812	24428	38153151	38177812	233	25800	3	3	149	30	51	47
38203612	38259278	55666	38177812	38259278	25800	19892	3	2	289	160	94	89
38279170	38303247	24077	38259278	38303247	19892	7332	2	2	130	22	35	34
38310579	38368718	58139	38303247	38368718	7332	1893	2	2	257	151	103	97
38370611	38393470	22859	38368718	38393470	1893	534132	2	384	144	24	24	24
38927602	38963711	36109	38393470	38963711	534132	149474	384	89	219	84	84	82
39113185	39149079	35894	38963711	39149079	149474	22411	89	7	188	76	76	73
39171490	39212666	41176	39149079	39212666	22411	28383	7	4	233	113	113	111
39241049	39286408	45359	39212666	39286408	28383	551885	4	539	234	115	115	112
39838293	39868811	30518	39286408	39868811	551885	751995	539	776	194	67	67	65
40620806	40741068	120262	39868811	40741068	751995	610536	776	693	520	401	240	225
41351604	41404861	53257	40741068	41404861	610536	20477	693	3	337	176	176	169
41425338	41539049	113711	41404861	41539049	20477	327868	3	372	611	478	376	361
41866917	41898323	31406	41539049	41898323	327868	2477	372	2	219	70	74	72
41900800	41924682	23882	41898323	41924682	2477	81724	2	115	204	35	39	37
42006406	42128667	122261	41924682	42128667	81724	56160	115	7	619	494	494	480
42184827	42208160	23333	42128667	42208160	56160	205936	7	273	182	31	31	31
42414096	42543112	129016	42208160	42543112	205936	561001	273	394	577	449	449	442
43104113	43123517	19404	42543112	43123517	561001	564834	394	582	139	21	21	20
43688351	45896820	2208469	43123517	45896820	564834	19216	582	5	9297	9141	8655	8425
45916036	45945176	29140	45896820	45945176	19216	422649	5	450	191	55	55	54
46367825	46407462	39637	45945176	46407462	422649	197979	450	103	215	88	88	82
46605441	46634216	28775	46407462	46634216	197979	2491	103	2	183	42	42	39
46636707	46663811	27104	46634216	46663811	2491	63239	2	26	159	46	46	45
46727050	46748667	21617	46663811	46748667	63239	58900	26	8	183	35	36	32
46807567	46828646	21079	46748667	46828646	58900	6687	8	8	150	21	21	19
46835333	46896191	60858	46828646	46896191	6687	107655	8	15	358	224	224	221
47003846	47035760	31914	46896191	47035760	107655	49588	15	38	208	76	83	76
47085348	47121694	36346	47035760	47121694	49588	515080	38	865	239	92	92	91
47636774	47666163	29389	47121694	47666163	515080	23255	865	3	165	50	50	45
47689418	47713869	24451	47666163	47713869	23255	24804	3	3	153	26	26	23
47738673	47762233	23560	47713869	47762233	24804	259899	3	234	124	28	28	27
48022132	48043584	21452	47762233	48043584	259899	51125	234	25	139	26	26	23
48094709	48162480	67771	48043584	48162480	51125	14350	25	2	355	224	159	150
48176830	48229446	52616	48162480	48229446	14350	696462	2	899	304	170	170	164
48925908	48950388	24480	48229446	48950388	696462	2150	899	2	173	36	36	36
48952538	49062203	109665	48950388	49062203	2150	26529	2	4	490	372	181	172
49088732	49107205	18473	49062203	49107205	26529	7811	4	2	124	9	22	20
49115016	49154364	39348	49107205	49154364	7811	245607	2	125	203	91	103	97
49399971	49478563	78592	49154364	49478563	245607	203331	125	342	367	242	242	231
49681894	49716722	34828	49478563	49716722	203331	74	342	2	214	80	80	78
49716796	49845376	128580	49716722	49845376	74	89504	2	67	643	499	434	413
49934880	49964968	30088	49845376	49964968	89504	134561	67	175	201	70	70	67
50099529	50147908	48379	49964968	50147908	134561	393087	175	557	225	104	51	47
50540995	50562066	21071	50147908	50562066	393087	573137	557	601	141	21	21	17
51135203	51165532	30329	50562066	51165532	573137	69531	601	59	214	57	57	55
51235063	51287372	52309	51165532	51287372	69531	50526	59	23	251	142	86	83
51337898	51365957	28059	51287372	51365957	50526	901306	23	1180	172	49	49	49
52267263	52376121	108858	51365957	52376121	901306	18706	1180	6	475	359	296	283
52394827	52422209	27382	52376121	52422209	18706	144682	6	33	164	40	40	40
52566891	52614190	47299	52422209	52614190	144682	47761	33	4	255	134	110	101
52661951	52727684	65733	52614190	52727684	47761	1198853	4	1474	365	216	216	208
53926537	53962801	36264	52727684	53962801	1198853	456232	1474	648	207	66	66	64
54419033	54453020	33987	53962801	54453020	456232	8943	648	2	262	98	98	97
54461963	54489927	27964	54453020	54489926	8943	57587	2	51	192	46	46	45
54547514	54569072	21558	54489926	54569072	57587	38441	51	3	181	30	31	31
54607513	54607517	4	54569072	54607517	38441	60637	3	64	62	0	1	1
54668154	54702072	33918	54607517	54702072	60637	178108	64	87	248	80	93	88
54880180	54912022	31842	54702072	54912022	178108	397453	87	458	245	100	100	98
55309475	55373606	64131	54912022	55373606	397453	99360	458	48	328	198	152	145
55472966	55492791	19825	55373606	55492791	99360	157732	48	136	125	9	9	8
55650523	55672815	22292	55492791	55672815	157732	109623	136	97	145	25	25	23
55782438	55824242	41804	55672815	55824242	109623	19585	97	6	256	111	111	108
55843827	55889113	45286	55824242	55889113	19585	110081	6	198	252	117	117	115
55999194	56040612	41418	55889113	56040612	110081	8887	198	2	246	115	115	109
56049499	56107742	58243	56040612	56107742	8887	42626	2	41	347	189	189	183
56150368	56192736	42368	56107742	56192736	42626	13623	41	8	277	122	127	124
56206359	56350725	144366	56192736	56350725	13623	146443	8	259	751	611	351	333
56497168	56568153	70985	56350725	56568153	146443	94033	259	70	383	241	166	158
56662186	56681452	19266	56568153	56681452	94033	403958	70	287	170	30	30	28
57085410	57119477	34067	56681452	57119477	403958	362111	287	427	212	73	74	70
57481588	57528647	47059	57119477	57528647	362111	39645	427	32	267	130	135	130
57568292	57661366	93074	57528647	57661366	39645	5803	32	2	475	331	264	257
57667169	57688923	21754	57661366	57688923	5803	75312	2	69	168	31	31	31
57764235	57836194	71959	57688923	57836194	75312	5578	69	3	396	260	260	256
57841772	57866713	24941	57836194	57866713	5578	45021	3	5	168	39	39	39
57911734	57934951	23217	57866713	57934951	45021	312321	5	452	172	30	30	28
58247272	58318451	71179	57934951	58318451	312321	41622	452	65	323	191	191	183
58360073	58391091	31018	58318451	58391091	41622	1245	65	2	165	48	50	47
58392336	58419975	27639	58391091	58419975	1245	1199	2	2	156	28	30	29
58421174	58453158	31984	58419975	58453158	1199	106558	2	236	156	48	48	44
58559716	58580791	21075	58453158	58580791	106558	123121	236	189	126	16	16	14
58703912	58747200	43288	58580791	58747200	123121	61203	189	26	223	88	88	83
58808403	58836035	27632	58747200	58836035	61203	153401	26	158	161	42	44	44
58989436	59046421	56985	58836035	59046421	153401	779033	158	887	296	162	162	160
59825454	59850389	24935	59046421	59850389	779033	154614	887	103	161	40	50	46
60005003	60058235	53232	59850389	60058234	154614	26649	103	3	255	143	79	72
60084884	60132282	47398	60058234	60132282	26649	113659	3	57	254	142	142	135
60245941	60286266	40325	60132282	60286266	113659	160809	57	219	238	109	121	117
60447075	60467115	20040	60286266	60467115	160809	61415	219	90	147	13	13	10
60528530	60552043	23513	60467115	60552043	61415	8763	90	4	174	37	37	35
60560806	60686879	126073	60552043	60686879	8763	6804	4	8	520	388	388	382
60693683	60739872	46189	60686879	60739871	6804	140703	8	154	248	115	115	114
60880575	60980031	99456	60739871	60980031	140703	11728	154	2	475	355	355	347
60991759	61037147	45388	60980031	61037147	11728	55882	2	19	263	134	134	128
61093029	61144542	51513	61037147	61144542	55882	153823	19	137	240	134	72	64
61298365	61327386	29021	61144542	61327386	153823	16473	137	3	190	49	49	45
61343859	61405579	61720	61327386	61405579	16473	49270	3	54	328	203	135	125
61454849	61487311	32462	61405579	61487311	49270	64270	54	56	184	64	65	64
61551581	61577290	25709	61487311	61577290	64270	77563	56	20	138	29	29	28
61654853	61690751	35898	61577290	61690751	77563	41570	20	7	239	90	90	87
61732321	61810469	78148	61690751	61810469	41570	63774	7	44	361	233	126	119
61874243	61914474	40231	61810469	61914474	63774	428654	44	500	232	109	109	104
62343128	62385548	42420	61914474	62385548	428654	22508	500	30	236	110	115	110
62408056	62432427	24371	62385548	62432427	22508	190826	30	210	177	30	32	28
62623253	62645168	21915	62432427	62645168	190826	514199	210	843	129	23	23	21
63159367	63182011	22644	62645168	63182011	514199	763854	843	1296	138	23	23	21
63945865	63969922	24057	63182011	63969922	763854	148253	1296	152	153	31	31	30
64118175	64144912	26737	63969922	64144912	148253	492491	152	783	104	35	37	29
64637403	64667635	30232	64144912	64667635	492491	79744	783	130	167	67	67	64
64747379	64771026	23647	64667635	64771026	79744	131554	130	323	138	27	27	22
64902580	64913827	11247	64771026	64913827	131554	595575	323	1225	43	3	3	3
65509402	65509406	4	64913827	65509406	595575	1218	1225	26	6	0	0	0
65510624	65510683	59	65509406	65510683	1218	710	26	6	6	0	0	0
65511393	65511403	10	65510683	65511403	710	70	6	3	6	0	0	0
65511473	65511540	67	65511403	65511540	70	138	3	4	6	0	0	0
65511678	65512327	649	65511540	65512327	138	1522	4	25	6	0	0	0
65513849	65513878	29	65512327	65513878	1522	481027	25	493	7	0	0	0
65994905	65995587	682	65513878	65995586	481027	212951	493	514	52	0	0	0
