gap_left	gap_right	gap_bp	hiphase_spans	hiphase_interior_sites	longphase_spans	longphase_interior_sites	whatshap_opt_spans	whatshap_opt_interior_sites	n_tools_spanning
47636774	47666163	29389	1	3	1	3	1	3	3
47689418	47713869	24451	1	3	0	0	1	3	2
47738673	47762233	23560	1	4	0	0	1	4	2
48022132	48043584	21452	1	3	1	2	1	3	3
48094709	48162480	67771	0	0	0	0	0	0	0
48176830	48229446	52616	1	8	0	0	1	7	2
48925908	48950388	24480	1	3	0	0	1	3	2
48952538	49062203	109665	0	0	0	0	0	0	0
49088732	49107205	18473	1	4	1	3	1	4	3
49115016	49154364	39348	0	0	0	0	0	0	0
49399971	49478563	78592	0	0	0	0	0	0	0
49681894	49716722	34828	0	0	0	0	0	0	0
49716796	49845376	128580	0	0	0	0	0	0	0
49934880	49964968	30088	0	0	0	0	0	0	0
50099529	50147908	48379	0	0	0	0	0	0	0
50540995	50562066	21071	1	3	0	0	0	0	1
51135203	51165532	30329	1	6	1	3	1	5	3
51235063	51287372	52309	0	0	0	0	0	0	0
51337898	51365957	28059	1	5	1	3	1	5	3
52267263	52376121	108858	0	0	0	0	0	0	0
52394827	52422209	27382	0	0	0	0	0	0	0
52566891	52614190	47299	1	9	1	5	1	7	3
52661951	52727684	65733	0	0	0	0	0	0	0
53926537	53962801	36264	1	4	0	0	1	4	2
54419033	54453020	33987	0	0	0	0	0	0	0
54461963	54489927	27964	1	8	1	4	1	5	3
54547514	54569072	21558	1	3	1	2	1	3	3
54607513	54607517	4	1	3	1	2	1	2	3
54668154	54702072	33918	1	5	0	0	1	3	2
54880180	54912022	31842	1	3	1	3	1	3	3
55309475	55373606	64131	0	0	0	0	0	0	0
55472966	55492791	19825	1	4	1	2	1	3	3
55650523	55672815	22292	1	3	1	3	1	3	3
55782438	55824242	41804	0	0	0	0	0	0	0
55843827	55889113	45286	1	5	0	0	1	5	2
55999194	56040612	41418	1	6	0	0	0	0	1
56049499	56107742	58243	1	5	0	0	1	5	2
56150368	56192736	42368	1	8	0	0	0	0	1
56206359	56350725	144366	0	0	0	0	0	0	0
56497168	56568153	70985	0	0	0	0	0	0	0
56662186	56681452	19266	1	4	1	3	1	4	3
57085410	57119477	34067	1	3	0	0	0	0	1
57481588	57528647	47059	0	0	0	0	0	0	0
57568292	57661366	93074	0	0	0	0	0	0	0
57667169	57688923	21754	1	2	1	2	1	2	3
57764235	57836194	71959	0	0	0	0	0	0	0
57841772	57866713	24941	1	3	0	0	0	0	1
57911734	57934951	23217	1	3	1	2	1	3	3
58247272	58318451	71179	0	0	0	0	0	0	0
58360073	58391091	31018	0	0	0	0	0	0	0
58392336	58419975	27639	1	3	0	0	0	0	1
58421174	58453158	31984	0	0	0	0	0	0	0
58559716	58580791	21075	1	4	1	4	1	7	3
58703912	58747200	43288	1	4	0	0	0	0	1
58808403	58836035	27632	0	0	0	0	0	0	0
58989436	59046421	56985	1	7	0	0	0	0	1
59825454	59850389	24935	1	5	0	0	0	0	1
60005003	60058235	53232	1	8	0	0	1	7	2
60084884	60132282	47398	1	4	0	0	0	0	1
60245941	60286266	40325	0	0	0	0	0	0	0
60447075	60467115	20040	1	4	0	0	1	3	2
60528530	60552043	23513	0	0	0	0	0	0	0
60560806	60686879	126073	0	0	0	0	0	0	0
60693683	60739872	46189	0	0	0	0	0	0	0
60880575	60980031	99456	0	0	0	0	0	0	0
60991759	61037147	45388	0	0	0	0	0	0	0
61093029	61144542	51513	0	0	0	0	0	0	0
61298365	61327386	29021	0	0	0	0	0	0	0
61343859	61405579	61720	0	0	0	0	0	0	0
61454849	61487311	32462	0	0	0	0	0	0	0
61551581	61577290	25709	1	3	1	3	1	3	3
61654853	61690751	35898	1	7	1	5	1	6	3
61732321	61810469	78148	1	17	1	10	1	16	3
61874243	61914474	40231	0	0	0	0	0	0	0
62343128	62385548	42420	0	0	0	0	0	0	0
62408056	62432427	24371	1	3	0	0	1	3	2
62623253	62645168	21915	1	4	1	2	1	3	3
63159367	63182011	22644	0	0	0	0	0	0	0
63945865	63969922	24057	1	3	1	2	1	3	3
64118175	64144912	26737	1	9	1	4	1	9	3
64637403	64667635	30232	1	7	1	5	1	8	3
64747379	64771026	23647	1	6	1	4	1	6	3
64902580	64913827	11247	1	3	0	0	1	4	2
65509402	65509406	4	1	0	1	0	1	0	3
65510624	65510683	59	1	0	1	0	1	0	3
65511393	65511403	10	1	0	1	0	1	0	3
65511473	65511540	67	1	0	1	0	1	0	3
65511678	65512327	649	1	0	1	0	1	0	3
65513849	65513878	29	1	0	1	0	1	0	3
65994905	65995587	682	1	2	1	3	1	3	3
