original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
15039543	14719378	84	0	0	True	False
15115387	14719378	938	0	0	True	False
15380509	15380509	754	0	0	False	False
15606878	15606878	4485	0	0	False	False
16715241	16715241	3083	0	0	False	False
17521341	16715241	357	0	0	False	False
17667022	17667022	444	0	444	False	True
17883198	17667022	1275	0	0	False	False
18218259	18218259	908	0	0	False	False
18442592	18442592	2252	0	0	False	False
18999993	18442592	1365	0	1365	False	True
19395544	18442592	260	1	1	False	False
19526088	19526088	3799	0	0	False	False
20540928	19526088	8	0	0	True	False
20617179	20617179	159	1	1	False	False
20689586	20617179	58	0	0	False	False
20813640	20813640	264	0	0	False	False
20895876	20813640	815	0	0	False	False
21148338	20813640	96	0	0	False	False
21249192	21249192	49	0	0	False	False
21456826	21456826	51	1	1	False	False
21506971	21506971	31	0	0	False	False
21757517	21757517	102	0	0	False	False
21845675	21845675	35	0	0	False	False
21961092	21961092	2031	0	0	False	False
22481532	22481532	71	0	0	False	False
22520628	22520628	41	0	0	False	False
22582235	22582235	58	0	0	False	False
22625517	22625517	41	0	0	False	False
22668436	22668436	116	0	0	False	False
22729320	22729320	874	2	872	False	True
23008891	22729320	1472	0	0	True	False
23449834	23449834	33	0	0	False	False
23481134	23449834	60	0	0	False	False
23503225	23449834	703	0	0	False	False
23717347	23717347	24	0	0	False	False
23767415	23717347	34	0	34	True	True
23810819	23810819	295	0	0	False	False
24012605	24012605	174	0	0	False	False
24103779	24103779	53	0	0	False	False
24142287	24103779	910	0	0	True	False
24379633	24379633	780	0	0	False	False
24601281	24379633	4529	0	0	False	False
25883079	25883079	216	0	0	False	False
25986123	25883079	91	0	91	False	True
26088679	26088679	1271	2	2	False	False
26418888	26418888	21	9	9	False	False
26540374	26540374	39	12	12	False	False
26647105	26647105	91	36	36	False	False
26749891	26749891	21	9	9	False	False
26952095	26952095	70	27	27	False	False
27132274	27132274	5	2	2	False	False
27161749	27161749	5	1	1	False	False
27202337	27202337	10	4	4	False	False
27239480	27239480	12	4	4	False	False
27269149	27239480	33	12	12	True	False
27353814	27353814	28	12	12	False	False
28222563	28222563	11	5	5	False	False
28936791	28936791	23	9	9	False	False
29068243	29068243	37	18	18	False	False
29172443	29172443	8	2	2	False	False
29222091	29222091	51	20	20	False	False
29308155	29308155	11	2	2	False	False
29400156	29400156	24	1	1	False	False
29510999	29510999	4262	1	1	False	False
30782343	30782343	3573	14	14	False	False
31887527	31887527	485	1	1	False	False
32174519	32174519	10	3	3	False	False
32203229	32203229	48	0	0	False	False
32312702	32312702	9	3	3	False	False
32315129	32312702	19	8	11	False	True
32397764	32397764	21	4	4	False	False
32449119	32449119	9	4	4	False	False
32488397	32488397	5	2	2	False	False
32516686	32516686	23	10	10	False	False
32714242	32714242	8	3	3	False	False
32907753	32907753	1276	0	0	False	False
33233843	32907753	126	0	0	False	False
33360820	32907753	1367	0	0	False	False
33792638	32907753	32	0	32	False	True
33958453	33958453	83	0	83	False	True
34018169	33958453	57	0	0	False	False
34055830	33958453	42	0	0	True	False
34134418	34134418	65	2	63	False	True
34162219	34134418	2176	0	0	False	False
34811747	34811747	144	0	0	False	False
34893642	34893642	566	0	0	False	False
35160775	35160775	52	0	0	False	False
35228062	35160775	8	0	0	False	False
35357391	35357391	15	0	0	False	False
35405794	35405794	7	0	0	False	False
35479836	35479836	44	0	44	False	True
35516845	35479836	1659	1	1	True	False
35939110	35479836	48	0	0	True	False
36011708	36011708	66	0	66	False	True
36056601	36011708	45	0	45	False	True
36083127	36011708	30	1	29	False	True
36156319	36011708	223	1	1	True	False
36268291	36011708	68	0	0	True	False
36299817	36011708	15	0	0	True	False
36381019	36011708	885	0	0	True	False
36629321	36011708	1194	0	0	True	False
37018950	36011708	1240	0	0	True	False
37425328	37425328	93	0	0	False	False
37482721	37425328	46	0	0	False	False
37556826	37425328	81	0	0	False	False
37606622	37425328	55	0	0	False	False
37667751	37667751	1055	0	0	False	False
38008026	38008026	196	1	1	False	False
38153151	38153151	175	1	1	False	False
38236063	38153151	46	0	0	True	False
38303247	38303247	44	0	0	False	False
38341762	38303247	115	2	2	False	False
38393470	38303247	2710	2	2	False	False
39204674	38303247	130	3	127	False	True
39286408	39286408	2168	1	1	False	False
39868811	39286408	2917	0	0	True	False
40722749	39286408	2455	0	0	False	False
41395719	41395719	72	0	0	False	False
41539049	41539049	1430	0	0	False	False
41924682	41539049	487	0	0	False	False
42122863	42122863	208	0	0	False	False
42208160	42122863	846	0	0	False	False
42543112	42543112	4767	0	0	False	False
45896820	45896820	1782	1	1	False	False
46407462	45896820	828	0	0	False	False
46629630	45896820	67	0	0	False	False
46663811	46663811	236	2	234	False	True
46748667	46663811	346	0	0	False	False
46895038	46895038	316	0	0	False	False
47026671	46895038	2403	0	0	False	False
47713869	46895038	25	0	0	True	False
47762233	46895038	960	0	0	True	False
48043584	46895038	182	0	0	True	False
48229446	48229446	2779	0	0	False	False
48950388	48229446	69	0	0	True	False
49062203	49062203	25	0	0	False	False
49102876	49062203	55	0	0	True	False
49148305	49148305	931	1	1	False	False
49478563	49478563	686	0	0	False	False
49716722	49716722	58	0	0	False	False
49845376	49845376	374	0	374	False	True
49964968	49845376	510	0	0	False	False
50147908	50147908	1442	3	1439	False	True
50562066	50147908	2276	2	2	True	False
51165532	50147908	291	0	0	False	False
51262081	50147908	3640	1	1	True	False
52356806	52356806	94	0	0	False	False
52434849	52434849	454	1	1	False	False
52727684	52727684	4559	1	1	False	False
53962801	52727684	1928	0	0	True	False
54453020	54453020	429	0	0	False	False
54569072	54569072	366	0	0	False	False
54702072	54569072	814	1	1	False	False
54912022	54569072	221	0	0	False	False
54988434	54569072	1397	0	0	True	False
55382729	55382729	372	0	0	False	False
55492791	55382729	1167	0	0	False	False
55824242	55382729	105	0	105	False	True
55883023	55382729	504	0	504	True	True
56040612	56040612	39	0	39	False	True
56100715	56040612	235	0	235	False	True
56201931	56040612	272	0	272	True	True
56323427	56040612	641	0	0	True	False
56542357	56542357	365	0	0	False	False
56681452	56542357	126	0	0	False	False
56740521	56542357	638	0	0	True	False
56909075	56542357	750	0	0	False	False
57123860	57123860	1325	0	0	False	False
57528647	57528647	188	0	0	False	False
57620633	57620633	59	0	0	False	False
57661366	57661366	33	0	0	False	False
57688923	57688923	298	0	0	False	False
57785772	57688923	70	1	1	False	False
57836194	57836194	63	0	0	False	False
57866713	57836194	105	0	0	False	False
57934951	57836194	1275	0	0	False	False
58318451	58318451	178	0	0	False	False
58391091	58391091	61	1	1	False	False
58419975	58391091	51	0	51	True	True
58452672	58452672	870	1	1	False	False
58747200	58452672	166	0	0	True	False
58849519	58849519	575	0	575	False	True
59046421	58849519	2837	0	0	False	False
59850389	58849519	531	0	0	True	False
60058235	58849519	39	0	0	False	False
60114911	60114911	477	0	477	False	True
60286266	60114911	575	0	0	False	False
60467115	60467115	256	0	0	False	False
60552043	60552043	120	0	0	False	False
60686879	60686879	86	0	0	False	False
60723583	60723583	598	0	0	False	False
60971452	60971452	48	0	0	False	False
61043614	61043614	278	0	0	False	False
61144542	61144542	612	0	0	False	False
61327386	61327386	64	0	0	False	False
61373859	61373859	56	0	0	False	False
61405579	61405579	156	0	0	False	False
61487311	61487311	538	0	0	False	False
61690751	61690751	138	0	138	False	True
61782778	61690751	265	0	265	True	True
61914474	61690751	1638	0	0	False	False
62385548	62385548	157	0	0	False	False
62432427	62432427	647	1	1	False	False
62645168	62432427	1879	0	0	True	False
63182011	63182011	2627	1	1	False	False
63969922	63182011	499	0	0	True	False
64155215	63182011	2101	0	0	True	False
64913827	64913827	1596	0	0	False	False
65513627	65513627	2013	184	184	False	False
