region	before_target	after_target	before_reads	after_reads	before_discordant	after_discordant	before_switchflips	after_switchflips
chr20_60033052_60056028	split	split	144	144	0	0	0	0
chr20_60063142_60114911	joined	joined	206	206	39	0	3	0
chr20_61664136_61690751	split	split	283	283	0	0	0	0
chr20_62410496_62432427	joined	joined	386	386	0	0	0	0
chr20_62623253_62637077	joined	joined	313	313	1	1	1	1
chr20_63945865_63969922	joined	joined	422	422	0	0	0	0
chr20_64902581_64905482	split	split	335	335	0	0	0	0
chr20_26602087_26651086	endpoint_unphased	endpoint_unphased	99	99	34	34	15	15
chr20_34864445_34893642	split	split	317	317	0	0	0	0
chr20_26626247_26651086	endpoint_unphased	endpoint_unphased	91	91	31	31	12	12
chr20_33210466_33233843	joined	joined	298	298	0	0	0	0
chr20_1912570_1913912	endpoint_unphased	endpoint_unphased	354	354	30	30	10	10
chr20_3786668_3806891	joined	joined	330	330	0	0	0	0
chr20_4011717_4022923	joined	joined	302	302	0	0	0	0
chr20_36032227_36056601	joined	joined	117	117	0	0	0	0
chr20_39838293_39856144	joined	joined	460	460	0	0	0	0
chr20_42184827_42208160	joined	joined	336	336	0	0	0	0
chr20_46384021_46407462	joined	joined	424	424	0	0	0	0
chr20_46609387_46629630	joined	joined	366	366	0	0	0	0
chr20_47002481_47026671	joined	joined	322	322	0	0	0	0
chr20_49071976_49102876	joined	joined	90	90	0	0	0	0
chr20_51142695_51165532	joined	joined	438	438	1	1	1	1
chr20_54547514_54590762	joined	joined	541	541	0	0	0	0
chr20_54976282_54993445	joined	joined	514	514	0	0	0	0
chr20_55472966_55492791	split	joined	452	452	0	0	0	0
chr20_56662188_56679959	joined	joined	404	404	0	0	0	0
chr20_56880401_56909075	joined	joined	477	477	0	0	0	0
chr20_61732321_61782778	split	split	330	330	3	3	3	3
chr20_62623253_62645168	joined	joined	342	342	1	1	1	1
chr20_64128828_64144962	joined	joined	316	316	0	0	0	0
